File accession,Experiment accession,Assay,Experiment target,File assembly,Biosample term name,File download URL
ENCFF334FEV,ENCSR000EKP,DNase-seq,,GRCh38,K562,https://www.encodeproject.org/files/ENCFF334FEV/@@download/ENCFF334FEV.bigWig
ENCFF503WXT,ENCSR000EKQ,DNase-seq,,GRCh38,K562,https://www.encodeproject.org/files/ENCFF503WXT/@@download/ENCFF503WXT.bigWig
ENCFF972GVB,ENCSR000EKS,DNase-seq,,GRCh38,K562,https://www.encodeproject.org/files/ENCFF972GVB/@@download/ENCFF972GVB.bigWig
ENCFF414OGC,ENCSR000EOT,DNase-seq,,GRCh38,K562,https://www.encodeproject.org/files/ENCFF414OGC/@@download/ENCFF414OGC.bigWig
ENCFF754EAC,ENCSR483RKN,ATAC-seq,,GRCh38,K562,https://www.encodeproject.org/files/ENCFF754EAC/@@download/ENCFF754EAC.bigWig
ENCFF920FUW,ENCSR859USB,ATAC-seq,,GRCh38,K562,https://www.encodeproject.org/files/ENCFF920FUW/@@download/ENCFF920FUW.bigWig
ENCFF102ARJ,ENCSR868FGK,ATAC-seq,,GRCh38,K562,https://www.encodeproject.org/files/ENCFF102ARJ/@@download/ENCFF102ARJ.bigWig
ENCFF798GCW,ENCSR956DNB,ATAC-seq,,GRCh38,K562,https://www.encodeproject.org/files/ENCFF798GCW/@@download/ENCFF798GCW.bigWig
ENCFF381NDD,ENCSR000AKP,Histone ChIP-seq,H3K27ac-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF381NDD/@@download/ENCFF381NDD.bigWig
ENCFF242ENK,ENCSR000AKQ,Histone ChIP-seq,H3K27me3-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF242ENK/@@download/ENCFF242ENK.bigWig
ENCFF317VHO,ENCSR000AKR,Histone ChIP-seq,H3K36me3-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF317VHO/@@download/ENCFF317VHO.bigWig
ENCFF607SUJ,ENCSR000AKS,Histone ChIP-seq,H3K4me1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF607SUJ/@@download/ENCFF607SUJ.bigWig
ENCFF959YJV,ENCSR000AKT,Histone ChIP-seq,H3K4me2-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF959YJV/@@download/ENCFF959YJV.bigWig
ENCFF660WUG,ENCSR000AKU,Histone ChIP-seq,H3K4me3-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF660WUG/@@download/ENCFF660WUG.bigWig
ENCFF286WRJ,ENCSR000AKV,Histone ChIP-seq,H3K9ac-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF286WRJ/@@download/ENCFF286WRJ.bigWig
ENCFF654SLZ,ENCSR000AKW,Histone ChIP-seq,H3K9me1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF654SLZ/@@download/ENCFF654SLZ.bigWig
ENCFF605FAF,ENCSR000AKX,Histone ChIP-seq,H4K20me1-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF605FAF/@@download/ENCFF605FAF.bigWig
ENCFF621DJP,ENCSR000APC,Histone ChIP-seq,H2AFZ-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF621DJP/@@download/ENCFF621DJP.bigWig
ENCFF544AVW,ENCSR000APD,Histone ChIP-seq,H3K79me2-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF544AVW/@@download/ENCFF544AVW.bigWig
ENCFF601JGK,ENCSR000APE,Histone ChIP-seq,H3K9me3-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF601JGK/@@download/ENCFF601JGK.bigWig
ENCFF347YYH,ENCSR000DWB,Histone ChIP-seq,H3K36me3-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF347YYH/@@download/ENCFF347YYH.bigWig
ENCFF911JVK,ENCSR000DWD,Histone ChIP-seq,H3K4me3-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF911JVK/@@download/ENCFF911JVK.bigWig
ENCFF583BKU,ENCSR000EVZ,Histone ChIP-seq,H3K9ac-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF583BKU/@@download/ENCFF583BKU.bigWig
ENCFF806YEZ,ENCSR000EWA,Histone ChIP-seq,H3K4me3-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF806YEZ/@@download/ENCFF806YEZ.bigWig
ENCFF139KZL,ENCSR000EWB,Histone ChIP-seq,H3K27me3-human,GRCh38,K562,https://www.encodeproject.org/files/ENCFF139KZL/@@download/ENCFF139KZL.bigWig
