,enhancer / silencer,log(Max enhancer / Max silencer),-log10(pvalue),pvalue,mark,sign
0,1.0431853963448747,0.04227891318973018,-0.0,0.22714262747952074,ADNP,False
314,1.021627056456467,0.021396509779053,-0.0,0.011593056936360103,SIX5,False
313,1.151581417261117,0.14113614317303,-0.0,0.028672719131401802,SIRT6,False
312,0.9724507236259979,-0.027935874566611354,-0.0,0.1051444512462441,SIN3B,False
311,1.229291465166081,0.20643795882648144,-0.0,0.045969369083953486,SIN3A,False
310,0.9824372153633927,-0.017718840218623202,-0.0,0.5897010875828689,SFPQ,False
308,1.2705532082007789,0.23945240263415207,-0.0,0.011403005922033296,SAP30,False
307,0.8982174299803216,-0.10734311306106958,-0.0,0.0735187375583366,SAFB2,False
306,0.8244020722951925,-0.1930969162678856,-0.0,0.4149629295277665,SAFB,False
305,1.1026892449332752,0.097751964341692,-0.0,0.5527829144684484,RUNX1,False
303,1.0789778443491282,0.07601415256113066,-0.0,0.041440001939507205,RNF219,False
302,1.208963199096851,0.18976313204352907,0.8701750198710975,0.0002573319394230642,RNF2,False
301,1.0159088682398194,0.01578364851895729,-0.0,0.699592408948156,RLF,False
299,1.1583992849797988,0.14703912540102254,-0.0,0.0024494337878663715,RFX7,False
297,2.0683576154993957,0.7267548698870238,-0.0,0.0350518724700082,RFX1,False
295,0.9870136477944897,-0.01307141209158068,-0.0,0.6918505944349418,RERE,False
292,1.0317973391816135,0.03130227101292756,-0.0,0.5776875239016326,RBPJ,False
291,1.187553950464444,0.17189568786471654,1.2932673976243285,9.714071939242505e-05,RBM39,False
290,0.9966519932695629,-0.0033536238459017697,-0.0,0.7509767258833999,RBM34,False
289,0.9394858420101815,-0.062422529949264165,-0.0,0.18684222331151623,RBM25,False
288,1.1191644516758803,0.11258238160226584,-0.0,0.3081497289007896,RBM22,False
287,0.9512862276619435,-0.04994028626131745,-0.0,0.34454623060139467,RBM17,False
315,0.8314209030400026,-0.18461911050226354,-0.0,0.659986564045151,SKIL,False
286,0.9440806957198682,-0.05754363373598113,-0.0,0.06081457237948515,RBM15,False
316,0.9690423173852687,-0.031446996852701824,-0.0,0.13409609385813517,SLC30A9,False
321,1.4814338602887567,0.39301044328787876,-0.0,0.060682457365717764,SMAD5,False
359,1.1671336329760549,0.1545508565824772,1.0165777197842987,0.00018369231745501616,TCF15,False
355,1.655068243658886,0.5038422428180996,-0.0,0.003977108507301689,TBP,False
353,1.228641175330965,0.20590882321098547,-0.0,0.04139640359984696,TARDBP,False
351,1.4083313038404481,0.3424055310799523,-0.0,0.019403818045168258,TAF9B,False
350,1.0228914467633412,0.022633368693339054,-0.0,0.46872912371684494,TAF7,False
349,1.0225311801508996,0.022281102504995765,-0.0,0.6054773914155723,TAF15,False
347,0.9764040984866439,-0.02387874292334627,-0.0,0.9393693762669165,SUZ12,False
346,1.3720853848124304,0.3163317611955511,-0.0,0.008574188342937755,SUPT5H,False
344,1.00006556467796,6.556252869037397e-05,-0.0,0.9362411455934516,STAT5B,False
340,0.8891162825136786,-0.11752725054429618,0.6324902206102975,0.00044481404578926715,SRSF7,False
339,1.1212043328377164,0.11440340476563525,-0.0,0.043263868837603546,SRSF3,False
338,0.9949555849118819,-0.005057181099377657,-0.0,0.8518379077588725,SRSF1,False
337,1.2829189845734206,0.24913793833454456,-0.0,0.09257472455574492,SRF,False
336,1.115677598853576,0.1094619323062385,-0.0,0.002265965721031676,SREBF2,False
335,1.126655570239304,0.11925357187829091,-0.0,0.13842777575701812,SREBF1,False
333,1.104019943103623,0.09895801209719983,-0.0,0.3261530393593376,SP2,False
331,1.6385600394919724,0.4938178314466235,-0.0,0.002237956608564593,SOX6,False
330,0.980628187612578,-0.01956190490730944,-0.0,0.3743340780866886,SNRNP70,False
329,0.9927863227506274,-0.007239821626374343,-0.0,0.8457875625899605,SNIP1,False
328,1.006266279142432,0.006246727649519191,-0.0,0.91940571994287,SNAPC5,False
327,0.925979536512009,-0.07690314337926604,-0.0,0.006814085752172834,SMC3,False
318,1.0898685202300713,0.0860570653232993,-0.0,0.36452452295848126,SMAD2,False
361,1.0336353996377399,0.03308210233524333,-0.0,0.7787365269766833,TCF7,False
285,1.016463397372232,0.01632934495022241,-0.0,0.5309397117582344,RBM14,False
280,0.8341036858225853,-0.18139756082263991,0.0629075651073967,0.0016510535065910172,RAD21,False
243,1.1716162563888566,0.1583842112497581,-0.0,0.008134044108297543,NR2F6,False
240,1.0634602696628637,0.061527996862405204,-0.0,0.1895680791170613,NR2C2,False
239,1.2349410825760785,0.21102326252582249,0.6919967257868384,0.0003878573155052131,NR2C1,False
238,1.0700268426669854,0.0676837347638105,-0.0,0.06849004972123385,NR1H2,False
237,0.9276909278056937,-0.07505665360356889,-0.0,0.015352334898768753,NR0B1,False
236,1.0984458399403605,0.09389630797695869,-0.0,0.03391256250310264,NONO,False
235,1.1509947825522815,0.14062659676012457,0.7175750627052169,0.00036567363617403506,NKRF,False
234,1.0946885544768907,0.09046989767670434,-0.0,0.354161071433577,NFYB,False
233,0.9654475101443849,-0.035163544055550826,-0.0,0.12565705361474272,NFYA,False
231,1.2052440553530077,0.1866820819977222,-0.0,0.0022097851881193453,NFRKB,False
230,1.1182011201481423,0.11172125135211891,-0.0,0.03981690238542998,NFIX,False
229,1.547462628844118,0.4366165759112608,0.24786768785208432,0.0010784525090079336,NFIC,False
228,1.249253244417327,0.22254596833092177,-0.0,0.2660577787149626,NFE2L1,False
227,2.180329509271493,0.7794760164207991,0.34226626756655804,0.000867765631240753,NFE2,False
222,0.9815069632962716,-0.01866617074542666,-0.0,0.2719207252128306,NCOA6,False
221,1.0014933821207415,0.001492268134595601,-0.0,0.6323595302956614,NCOA4,False
220,1.1247959582413183,0.11760164875461246,-0.0,0.8018732536064126,NCOA2,False
217,1.1153511645041154,0.10916930107068343,-0.0,0.28587801792072665,MYNN,False
213,1.0270450494395706,0.026685795066723857,-0.0,0.3410121970800757,MXD1,False
211,1.09034791695116,0.0864968351742548,-0.0,0.016204486680606974,MTA3,False
204,1.0800152221766084,0.076975135644771,-0.0,0.06685288002489374,MIER1,False
244,0.930410256983839,-0.07212965356519156,0.6366348915475328,0.0004405891738498136,NR3C1,False
282,0.9578909265209756,-0.04302136289937499,-0.0,0.25438419773957477,RB1,False
246,1.8131265962664185,0.595052756288273,-0.0,0.002833929546868045,NRF1,False
