,non-overlapping CREME,overlapping CREME,cell_line
0,-0.03428018,0.21727094,PC-3
1,-0.053682078,-0.024544036,PC-3
2,-0.021508412,0.26849574,PC-3
3,-0.0034587507,0.013852911,PC-3
4,0.0062615434,-0.0053551714,PC-3
5,-0.045256432,0.3212593,PC-3
6,-0.0071358406,0.3672892,PC-3
7,0.0026195755,0.056245618,PC-3
8,-0.029676689,0.0017839051,PC-3
9,-0.028904835,0.13263804,PC-3
10,0.034491707,0.05476417,PC-3
11,-0.0033997812,0.23730308,PC-3
12,-0.0021662957,0.18920705,PC-3
13,-0.07080011,0.019660266,PC-3
14,-0.013953219,0.024339141,PC-3
15,-0.010815895,0.21580529,PC-3
16,-0.009982102,-0.0056304485,PC-3
17,0.0045326194,0.03623947,PC-3
18,-0.0489184,1.1794095,PC-3
19,-0.055355154,0.18885955,PC-3
20,0.015347432,0.046452004,PC-3
21,-0.0138269635,0.045397066,PC-3
22,0.005011118,0.037201684,PC-3
23,0.0018699815,0.16949062,PC-3
24,-0.039684724,-0.051784992,PC-3
25,-0.14712186,0.049539983,PC-3
26,-0.0060948,0.022098713,PC-3
27,-0.017655965,0.90521586,PC-3
28,0.004826172,-0.017543957,PC-3
29,-0.0072096908,0.025560236,PC-3
30,-0.0015376983,0.024268778,PC-3
31,-0.0010236859,0.1671977,PC-3
32,-0.017683517,0.03516781,PC-3
33,0.0012452905,0.025999475,PC-3
34,-0.033899676,0.023458064,PC-3
0,-0.14339828,0.5585848,GM12878
1,-0.15838987,-0.59424925,GM12878
2,0.02158566,-0.08194179,GM12878
3,0.006614895,0.019296484,GM12878
4,-0.030716674,0.2597994,GM12878
5,-0.20724024,0.10933935,GM12878
6,-0.070794344,0.0328293,GM12878
7,-0.030724514,-0.045984164,GM12878
8,-0.12146887,0.10617351,GM12878
9,-0.018127182,0.004103737,GM12878
10,0.008801711,-0.85219556,GM12878
11,-0.03021556,0.32934105,GM12878
12,0.09404169,0.046171065,GM12878
13,-0.03937179,-0.016334752,GM12878
14,-0.11445221,0.06924788,GM12878
15,0.0109845735,-0.18715036,GM12878
16,-0.008491219,0.12531962,GM12878
17,0.021838415,0.3603687,GM12878
18,-0.056616407,0.101305515,GM12878
19,0.008857847,-0.7566973,GM12878
20,-0.0723819,0.20806476,GM12878
21,-0.020428345,0.14880048,GM12878
22,0.027171427,0.02703712,GM12878
23,-0.00830257,0.2546575,GM12878
24,0.085620254,0.52217156,GM12878
25,-0.028484428,-0.8050716,GM12878
26,-0.14714783,0.97151625,GM12878
27,-0.08417662,0.19152492,GM12878
28,-0.13219877,0.277789,GM12878
29,-0.013044282,-0.697376,GM12878
30,-0.012692237,0.21441072,GM12878
31,-0.053819083,-0.23703891,GM12878
32,-0.011150828,-0.027329635,GM12878
33,-0.075172596,1.0099388,GM12878
34,0.12079801,-0.06751251,GM12878
35,-0.028394997,0.876117,GM12878
36,-0.05577887,0.081898265,GM12878
37,-0.06971219,-0.16363849,GM12878
38,-0.0037588773,0.06304318,GM12878
39,-0.030337153,0.10133684,GM12878
40,-0.17233573,0.14968592,GM12878
0,-0.060578395,-0.01795037,K562
1,-0.016812235,0.06468802,K562
2,0.009116484,-0.0089475345,K562
3,-0.027700812,-0.57315224,K562
4,-0.020962715,0.14542931,K562
5,-0.050203774,0.36506188,K562
6,0.010158896,-0.08429216,K562
7,-0.047318935,-0.007359146,K562
8,-0.017912874,-0.016226392,K562
9,-0.014512144,-0.0045862203,K562
10,-0.033931807,-0.24002469,K562
11,0.03204385,0.17409264,K562
12,-0.025699034,-0.087833434,K562
13,-0.027937816,0.16108853,K562
14,-0.13554369,1.5232476,K562
15,-0.04869455,-0.025928527,K562
16,-0.030364674,0.040591296,K562
17,-0.03331335,-0.031324767,K562
18,-0.05042452,0.17352304,K562
19,0.010557068,0.004192662,K562
20,-0.002075835,0.09224974,K562
21,0.002092168,0.15092391,K562
22,-0.07241289,1.1575222,K562
23,-0.07052491,0.14547963,K562
24,-0.07866541,-0.055510696,K562
25,-0.118057474,-0.09184494,K562
26,-0.030423576,0.17879297,K562
27,-0.0316331,0.57903564,K562
28,-0.045828804,0.6337694,K562
29,-0.05894295,0.12962216,K562
30,0.013472222,-0.12946023,K562
31,-0.10404751,0.107850425,K562
32,-0.07517973,-0.044400115,K562
33,-0.029641632,0.34210888,K562
34,-0.030065719,0.25384507,K562
35,-0.09386354,0.4052994,K562
36,-0.015354895,-0.0460989,K562
37,-0.038424682,0.12256482,K562
38,-0.14285415,-0.023026174,K562
39,-0.076213166,-0.1361954,K562
40,-0.026681941,-0.016088467,K562
41,0.009033476,-0.0048384718,K562
42,-0.024937639,0.01112646,K562
43,-0.009688422,-0.016049286,K562
44,-0.07289891,0.17863388,K562
45,-0.024437888,0.0005875486,K562
46,-0.009069197,0.03369268,K562
47,-0.027243493,1.7614204,K562
48,-0.032114785,0.060464308,K562
49,0.032222897,0.9516774,K562
50,-0.051128145,-0.15315634,K562
51,-0.040486682,0.47522303,K562
