,delta mean,delta std,path,wt,context,cell line
2896,0.7803,0.1531,../results/context_dependence_test_10/borzoi/TBX18_chr6_84763453_-.pickle,0.7114,enhancing,"K562 ENCODE, biol_"
3181,0.7554,0.10693,../results/context_dependence_test_10/borzoi/EML3_chr11_62612775_-.pickle,5.598,enhancing,"K562 ENCODE, biol_"
8667,0.8525,0.09357,../results/context_dependence_test_10/borzoi/EMP3_chr19_48325580_+.pickle,6.77,enhancing,"K562 ENCODE, biol_"
8288,0.925,0.02797,../results/context_dependence_test_10/borzoi/MYL4_chr17_47209347_+.pickle,2.945,enhancing,"K562 ENCODE, biol_"
6527,0.741,0.2114,../results/context_dependence_test_10/borzoi/INTS14_chr15_65611242_-.pickle,11.1,enhancing,"K562 ENCODE, biol_"
8362,0.8364,0.1092,../results/context_dependence_test_10/borzoi/SUMO3_chr21_44818051_-.pickle,10.66,enhancing,"K562 ENCODE, biol_"
1934,0.7197,0.0704,../results/context_dependence_test_10/borzoi/HOMER1_chr5_79514134_-.pickle,3.469,enhancing,"K562 ENCODE, biol_"
934,0.766,0.1197,../results/context_dependence_test_10/borzoi/TBXAS1_chr7_139778247_+.pickle,1.844,enhancing,"K562 ENCODE, biol_"
5676,0.7554,0.10724,../results/context_dependence_test_10/borzoi/ACAD8_chr11_134253567_+.pickle,6.785,enhancing,"K562 ENCODE, biol_"
6241,0.748,0.03183,../results/context_dependence_test_10/borzoi/GRAP2_chr22_39946816_+.pickle,1.046,enhancing,"K562 ENCODE, biol_"
5249,0.747,0.09686,../results/context_dependence_test_10/borzoi/SOCS2_chr12_93570979_+.pickle,5.62,enhancing,"K562 ENCODE, biol_"
9078,0.804,0.0872,../results/context_dependence_test_10/borzoi/EIF4EBP1_chr8_38030533_+.pickle,6.477,enhancing,"K562 ENCODE, biol_"
2959,0.741,0.1118,../results/context_dependence_test_10/borzoi/NAXD_chr13_110615544_+.pickle,6.906,enhancing,"K562 ENCODE, biol_"
532,0.706,0.0656,../results/context_dependence_test_10/borzoi/GABBR1_chr6_29633135_-.pickle,2.594,enhancing,"K562 ENCODE, biol_"
3817,0.763,0.1565,../results/context_dependence_test_10/borzoi/DMC1_chr22_38570183_-.pickle,3.01,enhancing,"K562 ENCODE, biol_"
1423,0.741,0.0917,../results/context_dependence_test_10/borzoi/E2F2_chr1_23531233_-.pickle,3.818,enhancing,"K562 ENCODE, biol_"
4694,0.8413,0.06714,../results/context_dependence_test_10/borzoi/TOM1L1_chr17_54900805_+.pickle,5.082,enhancing,"K562 ENCODE, biol_"
3203,0.774,0.1043,../results/context_dependence_test_10/borzoi/NFE2L3_chr7_26152197_+.pickle,4.703,enhancing,"K562 ENCODE, biol_"
6063,0.8193,0.1562,../results/context_dependence_test_10/borzoi/MORN2_chr2_38876010_+.pickle,12.42,enhancing,"K562 ENCODE, biol_"
291,0.75,0.12415,../results/context_dependence_test_10/borzoi/PARP14_chr3_122680838_+.pickle,4.35,enhancing,"K562 ENCODE, biol_"
233,0.743,0.1632,../results/context_dependence_test_10/borzoi/GTF2IRD2B_chr7_75092572_+.pickle,1.49,enhancing,"K562 ENCODE, biol_"
8084,0.866,0.0698,../results/context_dependence_test_10/borzoi/FKBP4_chr12_2794969_+.pickle,10.3,enhancing,"K562 ENCODE, biol_"
555,0.869,0.0741,../results/context_dependence_test_10/borzoi/ENSG00000284461_chr7_66628957_+.pickle,3.727,enhancing,"K562 ENCODE, biol_"
917,0.7627,0.07245,../results/context_dependence_test_10/borzoi/BCL7A_chr12_122021883_+.pickle,5.605,enhancing,"K562 ENCODE, biol_"
640,0.7773,0.1021,../results/context_dependence_test_10/borzoi/SANBR_chr2_61065870_+.pickle,5.92,enhancing,"K562 ENCODE, biol_"
3666,0.7925,0.06354,../results/context_dependence_test_10/borzoi/RNF157_chr17_76240493_-.pickle,3.404,enhancing,"K562 ENCODE, biol_"
6860,0.846,0.1287,../results/context_dependence_test_10/borzoi/DDX31_chr9_132669983_-.pickle,7.695,enhancing,"K562 ENCODE, biol_"
8322,0.801,0.10236,../results/context_dependence_test_10/borzoi/OXCT1_chr5_41870425_-.pickle,13.09,enhancing,"K562 ENCODE, biol_"
2254,0.8477,0.0664,../results/context_dependence_test_10/borzoi/ADORA2B_chr17_15945129_+.pickle,3.057,enhancing,"K562 ENCODE, biol_"
4190,0.874,0.0891,../results/context_dependence_test_10/borzoi/TMEM242_chr6_157323601_-.pickle,4.176,enhancing,"K562 ENCODE, biol_"
