,delta_mean,path,wt,std,mean_mut,seq_id,context,cell_line
26310,0.97670585,../results//context_dependence_test_100/enformer/CHST11_chr12_104456947_+.pickle,166.3095,7.5956993,3.874046,{'CHST11_chr12_104456947_+'},enhancing,K562
29011,0.9685819,../results//context_dependence_test_100/enformer/VARS1_chr6_31795752_-.pickle,315.18967,7.8279333,9.902644,{'VARS1_chr6_31795752_-'},enhancing,K562
21818,0.9935969,../results//context_dependence_test_100/enformer/SOSTDC1_chr7_16465738_-.pickle,41.901356,0.52939266,0.26829818,{'SOSTDC1_chr7_16465738_-'},enhancing,K562
27478,0.99832225,../results//context_dependence_test_100/enformer/TFDP2_chr3_142028626_-.pickle,216.1412,1.2069341,0.36262804,{'TFDP2_chr3_142028626_-'},enhancing,K562
23449,0.99964726,../results//context_dependence_test_100/enformer/ABCA8_chr17_68955392_-.pickle,78.07874,0.009304371,0.027538892,{'ABCA8_chr17_68955392_-'},enhancing,K562
21521,0.9557124,../results//context_dependence_test_100/enformer/VSTM4_chr10_49115522_-.pickle,36.49573,1.2403885,1.6163102,{'VSTM4_chr10_49115522_-'},enhancing,K562
25032,0.996678,../results//context_dependence_test_100/enformer/CHST2_chr3_143119770_+.pickle,120.80235,0.7994257,0.40130383,{'CHST2_chr3_143119770_+'},enhancing,K562
26400,0.95269513,../results//context_dependence_test_100/enformer/MYEOV_chr11_69294157_+.pickle,169.73895,6.740205,8.029477,{'MYEOV_chr11_69294157_+'},enhancing,K562
29413,0.95078164,../results//context_dependence_test_100/enformer/SF3B3_chr16_70523815_+.pickle,362.3155,7.3914804,17.832565,{'SF3B3_chr16_70523815_+'},enhancing,K562
22448,0.9954082,../results//context_dependence_test_100/enformer/HTR1F_chr3_87792705_+.pickle,55.340214,0.1534101,0.254111,{'HTR1F_chr3_87792705_+'},enhancing,K562
20095,0.9957285,../results//context_dependence_test_100/enformer/ANXA3_chr4_78551746_+.pickle,14.322598,0.05032663,0.06117963,{'ANXA3_chr4_78551746_+'},enhancing,K562
21750,0.96683675,../results//context_dependence_test_100/enformer/PTPN22_chr1_113871712_-.pickle,40.57939,3.3741808,1.3457453,{'PTPN22_chr1_113871712_-'},enhancing,K562
29312,0.95012915,../results//context_dependence_test_100/enformer/MFF_chr2_227325250_+.pickle,349.29828,17.02251,17.419785,{'MFF_chr2_227325250_+'},enhancing,K562
23755,0.9773049,../results//context_dependence_test_100/enformer/HACD1_chr10_17617367_-.pickle,85.548546,2.3129892,1.9415333,{'HACD1_chr10_17617367_-'},enhancing,K562
22208,0.97882944,../results//context_dependence_test_100/enformer/ETV1_chr7_13989676_-.pickle,50.449142,1.6649597,1.0680356,{'ETV1_chr7_13989676_-'},enhancing,K562
26679,0.99783945,../results//context_dependence_test_100/enformer/NVL_chr1_224330189_-.pickle,181.11148,0.3761406,0.39130336,{'NVL_chr1_224330189_-'},enhancing,K562
20873,0.97346324,../results//context_dependence_test_100/enformer/PHYH_chr10_13300064_-.pickle,25.41132,0.5864073,0.6743331,{'PHYH_chr10_13300064_-'},enhancing,K562
20281,0.96012115,../results//context_dependence_test_100/enformer/LACTB_chr15_63121860_+.pickle,16.665575,1.0800648,0.6646048,{'LACTB_chr15_63121860_+'},enhancing,K562
22602,0.99211484,../results//context_dependence_test_100/enformer/RAB27B_chr18_54828476_+.pickle,58.77494,2.401969,0.46344972,{'RAB27B_chr18_54828476_+'},enhancing,K562
20908,0.99464756,../results//context_dependence_test_100/enformer/PGR_chr11_101129813_-.pickle,26.066856,0.10772416,0.13951975,{'PGR_chr11_101129813_-'},enhancing,K562
