,Chromosome,Start,gene_name,gene_id,Strand,GM12878
46634,chr19,56507854,ZNF471,ENSG00000196263.8,+,45.350135803222656
30573,chr11,78188626,KCTD21,ENSG00000188997.8,-,45.357574462890625
46037,chr19,42325608,MEGF8,ENSG00000105429.13,+,45.38201141357422
41631,chr17,50426217,ACSF2,ENSG00000167107.13,+,45.383087158203125
22117,chr8,53880893,RGS20,ENSG00000147509.14,+,45.40520095825195
37704,chr15,43776966,ELL3,ENSG00000128886.12,-,45.43696594238281
29237,chr11,119168747,NLRX1,ENSG00000160703.17,+,45.447261810302734
28400,chr11,62337447,ASRGL1,ENSG00000162174.12,+,45.5459098815918
26897,chr10,37976647,ZNF25,ENSG00000175395.16,-,45.593544006347656
43090,chr17,42681843,CCR10,ENSG00000184451.5,-,45.64985656738281
49404,chr20,20712644,RALGAPA2,ENSG00000188559.16,-,45.654815673828125
26738,chr10,13300064,PHYH,ENSG00000107537.14,-,45.721046447753906
7223,chr2,27890387,RBKS,ENSG00000171174.15,-,45.72486877441406
26539,chr10,119207570,GRK5,ENSG00000198873.12,+,45.79437255859375
41180,chr17,32486992,CDK5R1,ENSG00000176749.9,+,45.82612991333008
11817,chr3,185499035,TMEM41A,ENSG00000163900.11,-,45.84934997558594
40997,chr17,18260644,MIEF2,ENSG00000177427.13,+,45.87531280517578
37590,chr15,34988287,ZNF770,ENSG00000198146.4,-,45.89995193481445
44228,chr18,54269566,POLI,ENSG00000101751.11,+,45.91818618774414
4334,chr1,154970741,SHC1,ENSG00000160691.19,-,45.952518463134766
35859,chr14,20454812,OSGEP,ENSG00000092094.11,-,45.998233795166016
36814,chr15,40953470,CHAC1,ENSG00000128965.13,+,46.04656219482422
16876,chr6,30884549,DDR1,ENSG00000204580.14,+,46.05968475341797
47946,chr19,47113776,ZC3H4,ENSG00000130749.10,-,46.08269119262695
16906,chr6,31403594,MICA,ENSG00000204520.14,+,46.095157623291016
8947,chr3,20040445,KAT2B,ENSG00000114166.8,+,46.14295959472656
12314,chr4,52051303,SPATA18,ENSG00000163071.11,+,46.179298400878906
19281,chr7,16753754,TSPAN13,ENSG00000106537.8,+,46.183746337890625
29747,chr11,14892231,CYP2R1,ENSG00000186104.11,-,46.24685287475586
30963,chr11,123061331,HSPA8,ENSG00000109971.14,-,46.263824462890625
33546,chr12,89708836,ATP2B1,ENSG00000070961.17,-,46.33591842651367
53081,chrX,54496234,FGD1,ENSG00000102302.8,-,46.392860412597656
