,tile_selected,context,seq_id,cell_line
0,0,enhancing,ALDH3B1_chr11_68010326_+,PC-3
1,0,enhancing,ALDH3B1_chr11_68010326_+,PC-3
2,1,enhancing,ALDH3B1_chr11_68010326_+,PC-3
3,0,enhancing,ALDH3B1_chr11_68010326_+,PC-3
4,0,enhancing,ALDH3B1_chr11_68010326_+,PC-3
5,0,enhancing,ALDH3B1_chr11_68010326_+,PC-3
6,0,enhancing,ALDH3B1_chr11_68010326_+,PC-3
7,0,enhancing,ALDH3B1_chr11_68010326_+,PC-3
8,0,enhancing,ALDH3B1_chr11_68010326_+,PC-3
9,0,enhancing,ALDH3B1_chr11_68010326_+,PC-3
10,1,enhancing,ALDH3B1_chr11_68010326_+,PC-3
11,0,enhancing,ALDH3B1_chr11_68010326_+,PC-3
12,0,enhancing,ALDH3B1_chr11_68010326_+,PC-3
13,0,enhancing,ALDH3B1_chr11_68010326_+,PC-3
14,0,enhancing,ALDH3B1_chr11_68010326_+,PC-3
15,0,enhancing,ALDH3B1_chr11_68010326_+,PC-3
16,0,enhancing,ALDH3B1_chr11_68010326_+,PC-3
17,0,enhancing,ALDH3B1_chr11_68010326_+,PC-3
18,1,enhancing,ALDH3B1_chr11_68010326_+,PC-3
19,0,enhancing,ALDH3B1_chr11_68010326_+,PC-3
20,0,enhancing,ALDH3B1_chr11_68010326_+,PC-3
21,0,enhancing,ALDH3B1_chr11_68010326_+,PC-3
22,0,enhancing,ALDH3B1_chr11_68010326_+,PC-3
23,0,enhancing,ALDH3B1_chr11_68010326_+,PC-3
24,1,enhancing,ALDH3B1_chr11_68010326_+,PC-3
25,0,enhancing,ALDH3B1_chr11_68010326_+,PC-3
26,0,enhancing,ALDH3B1_chr11_68010326_+,PC-3
27,0,enhancing,ALDH3B1_chr11_68010326_+,PC-3
28,0,enhancing,ALDH3B1_chr11_68010326_+,PC-3
29,0,enhancing,ALDH3B1_chr11_68010326_+,PC-3
30,0,enhancing,ALDH3B1_chr11_68010326_+,PC-3
31,0,enhancing,ALDH3B1_chr11_68010326_+,PC-3
32,1,enhancing,ALDH3B1_chr11_68010326_+,PC-3
33,0,enhancing,ALDH3B1_chr11_68010326_+,PC-3
34,0,enhancing,ALDH3B1_chr11_68010326_+,PC-3
35,0,enhancing,ALDH3B1_chr11_68010326_+,PC-3
36,0,enhancing,ALDH3B1_chr11_68010326_+,PC-3
37,0,enhancing,ALDH3B1_chr11_68010326_+,PC-3
0,0,enhancing,SQOR_chr15_45635028_+,PC-3
1,0,enhancing,SQOR_chr15_45635028_+,PC-3
2,0,enhancing,SQOR_chr15_45635028_+,PC-3
3,0,enhancing,SQOR_chr15_45635028_+,PC-3
4,0,enhancing,SQOR_chr15_45635028_+,PC-3
5,0,enhancing,SQOR_chr15_45635028_+,PC-3
6,0,enhancing,SQOR_chr15_45635028_+,PC-3
7,0,enhancing,SQOR_chr15_45635028_+,PC-3
8,0,enhancing,SQOR_chr15_45635028_+,PC-3
9,0,enhancing,SQOR_chr15_45635028_+,PC-3
10,0,enhancing,SQOR_chr15_45635028_+,PC-3
11,0,enhancing,SQOR_chr15_45635028_+,PC-3
12,0,enhancing,SQOR_chr15_45635028_+,PC-3
13,0,enhancing,SQOR_chr15_45635028_+,PC-3
14,1,enhancing,SQOR_chr15_45635028_+,PC-3
15,0,enhancing,SQOR_chr15_45635028_+,PC-3
16,0,enhancing,SQOR_chr15_45635028_+,PC-3
17,0,enhancing,SQOR_chr15_45635028_+,PC-3
18,0,enhancing,SQOR_chr15_45635028_+,PC-3
19,0,enhancing,SQOR_chr15_45635028_+,PC-3
20,0,enhancing,SQOR_chr15_45635028_+,PC-3
21,0,enhancing,SQOR_chr15_45635028_+,PC-3
22,0,enhancing,SQOR_chr15_45635028_+,PC-3
23,1,enhancing,SQOR_chr15_45635028_+,PC-3
24,0,enhancing,SQOR_chr15_45635028_+,PC-3
25,0,enhancing,SQOR_chr15_45635028_+,PC-3
26,0,enhancing,SQOR_chr15_45635028_+,PC-3
27,0,enhancing,SQOR_chr15_45635028_+,PC-3
28,1,enhancing,SQOR_chr15_45635028_+,PC-3
29,0,enhancing,SQOR_chr15_45635028_+,PC-3
30,1,enhancing,SQOR_chr15_45635028_+,PC-3
31,1,enhancing,SQOR_chr15_45635028_+,PC-3
32,0,enhancing,SQOR_chr15_45635028_+,PC-3
33,0,enhancing,SQOR_chr15_45635028_+,PC-3
34,0,enhancing,SQOR_chr15_45635028_+,PC-3
35,0,enhancing,SQOR_chr15_45635028_+,PC-3
36,0,enhancing,SQOR_chr15_45635028_+,PC-3
37,0,enhancing,SQOR_chr15_45635028_+,PC-3
0,0,enhancing,KLHDC8B_chr3_49171597_+,PC-3
1,0,enhancing,KLHDC8B_chr3_49171597_+,PC-3
2,0,enhancing,KLHDC8B_chr3_49171597_+,PC-3
3,1,enhancing,KLHDC8B_chr3_49171597_+,PC-3
4,0,enhancing,KLHDC8B_chr3_49171597_+,PC-3
5,0,enhancing,KLHDC8B_chr3_49171597_+,PC-3
6,0,enhancing,KLHDC8B_chr3_49171597_+,PC-3
7,0,enhancing,KLHDC8B_chr3_49171597_+,PC-3
8,0,enhancing,KLHDC8B_chr3_49171597_+,PC-3
9,1,enhancing,KLHDC8B_chr3_49171597_+,PC-3
