Chromosome,Start,gene_name,gene_id,Strand
chr1,65418,OR4F5,ENSG00000186092.7,+
chr1,923922,SAMD11,ENSG00000187634.13,+
chr1,925730,SAMD11,ENSG00000187634.13,+
chr1,960583,KLHL17,ENSG00000187961.15,+
chr1,966481,PLEKHN1,ENSG00000187583.11,+
chr1,966501,PLEKHN1,ENSG00000187583.11,+
chr1,1001137,ISG15,ENSG00000187608.10,+
chr1,1013496,ISG15,ENSG00000187608.10,+
chr1,1020119,AGRN,ENSG00000188157.15,+
chr1,1020122,AGRN,ENSG00000188157.15,+
chr1,1173879,TTLL10,ENSG00000162571.14,+
chr1,1179696,TTLL10,ENSG00000162571.14,+
chr1,1232236,B3GALT6,ENSG00000176022.7,+
chr1,1280435,SCNN1D,ENSG00000162572.21,+
chr1,1280587,SCNN1D,ENSG00000162572.21,+
chr1,1281223,SCNN1D,ENSG00000162572.21,+
chr1,1282108,SCNN1D,ENSG00000162572.21,+
chr1,1308596,PUSL1,ENSG00000169972.13,+
chr1,1324801,CPTP,ENSG00000224051.7,+
chr1,1331279,TAS1R3,ENSG00000169962.5,+
chr1,1425870,TMEM88B,ENSG00000205116.4,+
chr1,1435522,VWA1,ENSG00000179403.12,+
chr1,1435689,VWA1,ENSG00000179403.12,+
chr1,1449688,ATAD3C,ENSG00000215915.10,+
chr1,1471764,ATAD3B,ENSG00000160072.20,+
chr1,1471783,ATAD3B,ENSG00000160072.20,+
chr1,1512161,ATAD3A,ENSG00000197785.14,+
chr1,1512174,ATAD3A,ENSG00000197785.14,+
chr1,1512529,ATAD3A,ENSG00000197785.14,+
chr1,1615499,MIB2,ENSG00000197530.13,+
chr1,1615904,MIB2,ENSG00000197530.13,+
chr1,1616309,MIB2,ENSG00000197530.13,+
chr1,1617559,MIB2,ENSG00000197530.13,+
chr1,1632172,MMP23B,ENSG00000189409.14,+
chr1,1632178,MMP23B,ENSG00000189409.14,+
chr1,1915259,CALML6,ENSG00000169885.10,+
chr1,2019344,GABRD,ENSG00000187730.9,+
chr1,2019359,GABRD,ENSG00000187730.9,+
chr1,2019378,GABRD,ENSG00000187730.9,+
chr1,2019403,GABRD,ENSG00000187730.9,+
chr1,2050410,PRKCZ,ENSG00000067606.17,+
chr1,2073461,PRKCZ,ENSG00000067606.17,+
chr1,2228318,SKI,ENSG00000157933.11,+
chr1,2391774,RER1,ENSG00000157916.20,+
chr1,2391827,RER1,ENSG00000157916.20,+
chr1,2391840,RER1,ENSG00000157916.20,+
chr1,2391889,RER1,ENSG00000157916.20,+
chr1,2394004,RER1,ENSG00000157916.20,+
chr1,2467458,PLCH2,ENSG00000149527.18,+
chr1,2476288,PLCH2,ENSG00000149527.18,+
chr1,2476314,PLCH2,ENSG00000149527.18,+
chr1,2556221,TNFRSF14,ENSG00000157873.18,+
chr1,2556370,TNFRSF14,ENSG00000157873.18,+
chr1,2586749,PRXL2B,ENSG00000157870.17,+
chr1,2586776,PRXL2B,ENSG00000157870.17,+
chr1,2586779,PRXL2B,ENSG00000157870.17,+
chr1,2586795,PRXL2B,ENSG00000157870.17,+
chr1,2586797,PRXL2B,ENSG00000157870.17,+
chr1,3021466,ACTRT2,ENSG00000169717.7,+
chr1,3069167,PRDM16,ENSG00000142611.17,+
chr1,3069196,PRDM16,ENSG00000142611.17,+
chr1,3069202,PRDM16,ENSG00000142611.17,+
chr1,3069210,PRDM16,ENSG00000142611.17,+
chr1,3454664,ARHGEF16,ENSG00000130762.15,+
chr1,3466004,ARHGEF16,ENSG00000130762.15,+
chr1,3466970,ARHGEF16,ENSG00000130762.15,+
chr1,3625014,TPRG1L,ENSG00000158109.15,+
chr1,3625049,TPRG1L,ENSG00000158109.15,+
chr1,3652515,TP73,ENSG00000078900.15,+
chr1,3652519,TP73,ENSG00000078900.15,+
chr1,3652564,TP73,ENSG00000078900.15,+
chr1,3682365,TP73,ENSG00000078900.15,+
chr1,3690671,TP73,ENSG00000078900.15,+
chr1,3698057,TP73,ENSG00000078900.15,+
chr1,3752449,CCDC27,ENSG00000162592.10,+
chr1,3772748,SMIM1,ENSG00000235169.11,+
chr1,3772770,SMIM1,ENSG00000235169.11,+
chr1,3772786,SMIM1,ENSG00000235169.11,+
chr1,3857266,DFFB,ENSG00000169598.17,+
chr1,3857475,DFFB,ENSG00000169598.17,+
chr1,4654608,AJAP1,ENSG00000196581.11,+
chr1,4654731,AJAP1,ENSG00000196581.11,+
chr1,5992261,KCNAB2,ENSG00000069424.16,+
chr1,5992638,KCNAB2,ENSG00000069424.16,+
chr1,5992665,KCNAB2,ENSG00000069424.16,+
chr1,5992710,KCNAB2,ENSG00000069424.16,+
chr1,5992752,KCNAB2,ENSG00000069424.16,+
chr1,5992759,KCNAB2,ENSG00000069424.16,+
chr1,6026162,KCNAB2,ENSG00000069424.16,+
chr1,6026271,KCNAB2,ENSG00000069424.16,+
chr1,6026293,KCNAB2,ENSG00000069424.16,+
chr1,6026319,KCNAB2,ENSG00000069424.16,+
chr1,6026332,KCNAB2,ENSG00000069424.16,+
chr1,6026344,KCNAB2,ENSG00000069424.16,+
chr1,6026346,KCNAB2,ENSG00000069424.16,+
chr1,6027296,KCNAB2,ENSG00000069424.16,+
chr1,6034282,KCNAB2,ENSG00000069424.16,+
chr1,6034676,KCNAB2,ENSG00000069424.16,+
chr1,6034979,KCNAB2,ENSG00000069424.16,+
chr1,6035089,KCNAB2,ENSG00000069424.16,+
chr1,6045887,KCNAB2,ENSG00000069424.16,+
chr1,6046113,KCNAB2,ENSG00000069424.16,+
chr1,6065752,KCNAB2,ENSG00000069424.16,+
chr1,6206118,RNF207,ENSG00000158286.13,+
chr1,6244178,HES3,ENSG00000173673.9,+
chr1,6424775,ESPN,ENSG00000187017.18,+
chr1,6424787,ESPN,ENSG00000187017.18,+
chr1,6448042,ESPN,ENSG00000187017.18,+
chr1,6555306,TAS1R1,ENSG00000173662.21,+
chr1,6555308,TAS1R1,ENSG00000173662.21,+
chr1,6579993,ZBTB48,ENSG00000204859.13,+
chr1,6613730,PHF13,ENSG00000116273.6,+
chr1,6624867,THAP3,ENSG00000041988.16,+
chr1,6625180,THAP3,ENSG00000041988.16,+
chr1,6625191,THAP3,ENSG00000041988.16,+
chr1,6785453,CAMTA1,ENSG00000171735.21,+
