,Normalized TSS activity,context,cell_line,seq_id
0,1.0,silencing,K562,ZNF799_chr19_12401268_-
1,0.9015585,silencing,K562,ZNF799_chr19_12401268_-
2,1.0607885,silencing,K562,ZNF799_chr19_12401268_-
3,0.77117246,silencing,K562,ZNF799_chr19_12401268_-
4,0.56996924,silencing,K562,ZNF799_chr19_12401268_-
5,0.47696665,silencing,K562,ZNF799_chr19_12401268_-
6,0.5995081,silencing,K562,ZNF799_chr19_12401268_-
7,0.61713,silencing,K562,ZNF799_chr19_12401268_-
8,0.6273995,silencing,K562,ZNF799_chr19_12401268_-
9,0.5187322,silencing,K562,ZNF799_chr19_12401268_-
10,0.5109703,silencing,K562,ZNF799_chr19_12401268_-
11,0.49469632,silencing,K562,ZNF799_chr19_12401268_-
12,0.47746095,silencing,K562,ZNF799_chr19_12401268_-
13,0.46755698,silencing,K562,ZNF799_chr19_12401268_-
14,0.48393717,silencing,K562,ZNF799_chr19_12401268_-
15,0.49404433,silencing,K562,ZNF799_chr19_12401268_-
16,0.5245237,silencing,K562,ZNF799_chr19_12401268_-
17,0.5265039,silencing,K562,ZNF799_chr19_12401268_-
18,0.53339064,silencing,K562,ZNF799_chr19_12401268_-
19,0.53021365,silencing,K562,ZNF799_chr19_12401268_-
20,0.52967745,silencing,K562,ZNF799_chr19_12401268_-
21,0.53059214,silencing,K562,ZNF799_chr19_12401268_-
22,0.52984273,silencing,K562,ZNF799_chr19_12401268_-
23,0.51066595,silencing,K562,ZNF799_chr19_12401268_-
24,0.49998635,silencing,K562,ZNF799_chr19_12401268_-
25,0.5070726,silencing,K562,ZNF799_chr19_12401268_-
0,1.0,silencing,K562,FOXH1_chr8_144475849_-
1,0.954059,silencing,K562,FOXH1_chr8_144475849_-
2,0.79448414,silencing,K562,FOXH1_chr8_144475849_-
3,0.7396284,silencing,K562,FOXH1_chr8_144475849_-
4,0.74154884,silencing,K562,FOXH1_chr8_144475849_-
5,0.7097555,silencing,K562,FOXH1_chr8_144475849_-
6,0.6481749,silencing,K562,FOXH1_chr8_144475849_-
7,0.60348034,silencing,K562,FOXH1_chr8_144475849_-
8,0.5906888,silencing,K562,FOXH1_chr8_144475849_-
9,0.55645573,silencing,K562,FOXH1_chr8_144475849_-
10,0.53546053,silencing,K562,FOXH1_chr8_144475849_-
11,0.498639,silencing,K562,FOXH1_chr8_144475849_-
12,0.48555166,silencing,K562,FOXH1_chr8_144475849_-
13,0.48162472,silencing,K562,FOXH1_chr8_144475849_-
14,0.4748114,silencing,K562,FOXH1_chr8_144475849_-
15,0.4567005,silencing,K562,FOXH1_chr8_144475849_-
16,0.43612224,silencing,K562,FOXH1_chr8_144475849_-
17,0.44662908,silencing,K562,FOXH1_chr8_144475849_-
18,0.4432539,silencing,K562,FOXH1_chr8_144475849_-
19,0.44647008,silencing,K562,FOXH1_chr8_144475849_-
20,0.44072875,silencing,K562,FOXH1_chr8_144475849_-
21,0.43450552,silencing,K562,FOXH1_chr8_144475849_-
22,0.44566488,silencing,K562,FOXH1_chr8_144475849_-
23,0.45021,silencing,K562,FOXH1_chr8_144475849_-
24,0.44599175,silencing,K562,FOXH1_chr8_144475849_-
25,0.45908943,silencing,K562,FOXH1_chr8_144475849_-
0,1.0,silencing,K562,ZNF256_chr19_57947675_-
1,0.60375416,silencing,K562,ZNF256_chr19_57947675_-
2,0.24246107,silencing,K562,ZNF256_chr19_57947675_-
3,0.2807188,silencing,K562,ZNF256_chr19_57947675_-
4,0.2573496,silencing,K562,ZNF256_chr19_57947675_-
5,0.25237095,silencing,K562,ZNF256_chr19_57947675_-
6,0.2540759,silencing,K562,ZNF256_chr19_57947675_-
7,0.26201507,silencing,K562,ZNF256_chr19_57947675_-
8,0.2556183,silencing,K562,ZNF256_chr19_57947675_-
9,0.26565304,silencing,K562,ZNF256_chr19_57947675_-
10,0.2728873,silencing,K562,ZNF256_chr19_57947675_-
11,0.2899218,silencing,K562,ZNF256_chr19_57947675_-
12,0.29494613,silencing,K562,ZNF256_chr19_57947675_-
13,0.29374635,silencing,K562,ZNF256_chr19_57947675_-
14,0.2897583,silencing,K562,ZNF256_chr19_57947675_-
15,0.28826416,silencing,K562,ZNF256_chr19_57947675_-
16,0.29082206,silencing,K562,ZNF256_chr19_57947675_-
17,0.28112665,silencing,K562,ZNF256_chr19_57947675_-
18,0.2869315,silencing,K562,ZNF256_chr19_57947675_-
19,0.26648894,silencing,K562,ZNF256_chr19_57947675_-
20,0.27306652,silencing,K562,ZNF256_chr19_57947675_-
21,0.27393445,silencing,K562,ZNF256_chr19_57947675_-
22,0.2672897,silencing,K562,ZNF256_chr19_57947675_-
23,0.2654219,silencing,K562,ZNF256_chr19_57947675_-
24,0.27267984,silencing,K562,ZNF256_chr19_57947675_-
25,0.275835,silencing,K562,ZNF256_chr19_57947675_-
0,1.0,silencing,K562,ZNF567_chr19_36687611_+
1,0.6899088,silencing,K562,ZNF567_chr19_36687611_+
2,0.44835085,silencing,K562,ZNF567_chr19_36687611_+
3,0.46460214,silencing,K562,ZNF567_chr19_36687611_+
4,0.4735829,silencing,K562,ZNF567_chr19_36687611_+
5,0.5022327,silencing,K562,ZNF567_chr19_36687611_+
6,0.5341054,silencing,K562,ZNF567_chr19_36687611_+
7,0.5278331,silencing,K562,ZNF567_chr19_36687611_+
8,0.50094515,silencing,K562,ZNF567_chr19_36687611_+
9,0.472476,silencing,K562,ZNF567_chr19_36687611_+
10,0.42823747,silencing,K562,ZNF567_chr19_36687611_+
11,0.41122392,silencing,K562,ZNF567_chr19_36687611_+
12,0.38982797,silencing,K562,ZNF567_chr19_36687611_+
13,0.3642534,silencing,K562,ZNF567_chr19_36687611_+
14,0.36566287,silencing,K562,ZNF567_chr19_36687611_+
15,0.36549437,silencing,K562,ZNF567_chr19_36687611_+
16,0.36554074,silencing,K562,ZNF567_chr19_36687611_+
17,0.357704,silencing,K562,ZNF567_chr19_36687611_+
18,0.37202203,silencing,K562,ZNF567_chr19_36687611_+
19,0.36010003,silencing,K562,ZNF567_chr19_36687611_+
20,0.36333352,silencing,K562,ZNF567_chr19_36687611_+
21,0.36171868,silencing,K562,ZNF567_chr19_36687611_+
22,0.36835998,silencing,K562,ZNF567_chr19_36687611_+
23,0.39053622,silencing,K562,ZNF567_chr19_36687611_+
24,0.384446,silencing,K562,ZNF567_chr19_36687611_+
25,0.3862909,silencing,K562,ZNF567_chr19_36687611_+
0,1.0,silencing,K562,MATCAP2_chr7_36367269_-
1,0.87388283,silencing,K562,MATCAP2_chr7_36367269_-
2,0.5824523,silencing,K562,MATCAP2_chr7_36367269_-
3,0.1311867,silencing,K562,MATCAP2_chr7_36367269_-
4,0.13487557,silencing,K562,MATCAP2_chr7_36367269_-
5,0.2757735,silencing,K562,MATCAP2_chr7_36367269_-
6,0.32800674,silencing,K562,MATCAP2_chr7_36367269_-
7,0.34192336,silencing,K562,MATCAP2_chr7_36367269_-
8,0.34787497,silencing,K562,MATCAP2_chr7_36367269_-
9,0.30846563,silencing,K562,MATCAP2_chr7_36367269_-
10,0.28975073,silencing,K562,MATCAP2_chr7_36367269_-
11,0.29442576,silencing,K562,MATCAP2_chr7_36367269_-
12,0.32980344,silencing,K562,MATCAP2_chr7_36367269_-
13,0.57756627,silencing,K562,MATCAP2_chr7_36367269_-
14,0.63628775,silencing,K562,MATCAP2_chr7_36367269_-
15,0.6663131,silencing,K562,MATCAP2_chr7_36367269_-
16,0.6422967,silencing,K562,MATCAP2_chr7_36367269_-
17,0.6308188,silencing,K562,MATCAP2_chr7_36367269_-
18,0.64733726,silencing,K562,MATCAP2_chr7_36367269_-
19,0.5798547,silencing,K562,MATCAP2_chr7_36367269_-
20,0.558285,silencing,K562,MATCAP2_chr7_36367269_-
21,0.55668867,silencing,K562,MATCAP2_chr7_36367269_-
22,0.5707048,silencing,K562,MATCAP2_chr7_36367269_-
23,0.5647965,silencing,K562,MATCAP2_chr7_36367269_-
24,0.57116044,silencing,K562,MATCAP2_chr7_36367269_-
25,0.57016563,silencing,K562,MATCAP2_chr7_36367269_-
0,1.0,silencing,K562,CNTLN_chr9_17135039_+
1,0.69141525,silencing,K562,CNTLN_chr9_17135039_+
2,0.5633309,silencing,K562,CNTLN_chr9_17135039_+
3,0.58162683,silencing,K562,CNTLN_chr9_17135039_+
4,0.54196423,silencing,K562,CNTLN_chr9_17135039_+
5,0.6073691,silencing,K562,CNTLN_chr9_17135039_+
6,0.5225163,silencing,K562,CNTLN_chr9_17135039_+
7,0.51263285,silencing,K562,CNTLN_chr9_17135039_+
8,0.46818578,silencing,K562,CNTLN_chr9_17135039_+
9,0.44321373,silencing,K562,CNTLN_chr9_17135039_+
10,0.39039716,silencing,K562,CNTLN_chr9_17135039_+
11,0.38155043,silencing,K562,CNTLN_chr9_17135039_+
12,0.35581934,silencing,K562,CNTLN_chr9_17135039_+
13,0.3701062,silencing,K562,CNTLN_chr9_17135039_+
14,0.3529053,silencing,K562,CNTLN_chr9_17135039_+
15,0.36928207,silencing,K562,CNTLN_chr9_17135039_+
16,0.37886912,silencing,K562,CNTLN_chr9_17135039_+
17,0.37300864,silencing,K562,CNTLN_chr9_17135039_+
18,0.35966977,silencing,K562,CNTLN_chr9_17135039_+
19,0.2571006,silencing,K562,CNTLN_chr9_17135039_+
20,0.24093579,silencing,K562,CNTLN_chr9_17135039_+
21,0.22729716,silencing,K562,CNTLN_chr9_17135039_+
22,0.22298282,silencing,K562,CNTLN_chr9_17135039_+
23,0.27788198,silencing,K562,CNTLN_chr9_17135039_+
24,0.30294058,silencing,K562,CNTLN_chr9_17135039_+
25,0.29682645,silencing,K562,CNTLN_chr9_17135039_+
0,1.0,silencing,K562,XBP1_chr22_28800597_-
1,1.109955,silencing,K562,XBP1_chr22_28800597_-
2,1.0804417,silencing,K562,XBP1_chr22_28800597_-
3,0.9455738,silencing,K562,XBP1_chr22_28800597_-
4,0.9396199,silencing,K562,XBP1_chr22_28800597_-
5,0.82981783,silencing,K562,XBP1_chr22_28800597_-
6,0.8088061,silencing,K562,XBP1_chr22_28800597_-
7,0.59809774,silencing,K562,XBP1_chr22_28800597_-
8,0.5429138,silencing,K562,XBP1_chr22_28800597_-
9,0.48713905,silencing,K562,XBP1_chr22_28800597_-
10,0.47226238,silencing,K562,XBP1_chr22_28800597_-
11,0.46853566,silencing,K562,XBP1_chr22_28800597_-
12,0.4822393,silencing,K562,XBP1_chr22_28800597_-
13,0.4916142,silencing,K562,XBP1_chr22_28800597_-
14,0.4835137,silencing,K562,XBP1_chr22_28800597_-
15,0.48703173,silencing,K562,XBP1_chr22_28800597_-
16,0.48722035,silencing,K562,XBP1_chr22_28800597_-
17,0.42643377,silencing,K562,XBP1_chr22_28800597_-
18,0.4297276,silencing,K562,XBP1_chr22_28800597_-
19,0.4434733,silencing,K562,XBP1_chr22_28800597_-
20,0.44505003,silencing,K562,XBP1_chr22_28800597_-
21,0.44916376,silencing,K562,XBP1_chr22_28800597_-
22,0.4488341,silencing,K562,XBP1_chr22_28800597_-
23,0.4491902,silencing,K562,XBP1_chr22_28800597_-
24,0.4487421,silencing,K562,XBP1_chr22_28800597_-
25,0.450678,silencing,K562,XBP1_chr22_28800597_-
0,1.0,silencing,K562,RAB33B_chr4_139454120_+
1,0.6381545,silencing,K562,RAB33B_chr4_139454120_+
2,0.42575285,silencing,K562,RAB33B_chr4_139454120_+
