,delta mean,delta std,path,wt,context,cell line
934,0.7188,0.1704,../results/context_dependence_test_10/borzoi/CREB3L4_chr1_153967901_+.pickle,2.072,enhancing,PC-3
412,0.742,0.0824,../results/context_dependence_test_10/borzoi/PIGP_chr21_37072900_-.pickle,1.248,enhancing,PC-3
6282,0.775,0.1685,../results/context_dependence_test_10/borzoi/ECD_chr10_73168064_-.pickle,6.887,enhancing,PC-3
2505,0.7134,0.1649,../results/context_dependence_test_10/borzoi/MUS81_chr11_65860432_+.pickle,3.76,enhancing,PC-3
7547,0.73,0.1604,../results/context_dependence_test_10/borzoi/NAT10_chr11_34105616_+.pickle,6.637,enhancing,PC-3
3879,0.7607,0.0744,../results/context_dependence_test_10/borzoi/NTN4_chr12_95790764_-.pickle,4.004,enhancing,PC-3
6544,0.811,0.0813,../results/context_dependence_test_10/borzoi/ACP2_chr11_47248805_-.pickle,4.664,enhancing,PC-3
9066,0.8066,0.1163,../results/context_dependence_test_10/borzoi/UFC1_chr1_161153977_+.pickle,5.125,enhancing,PC-3
7961,0.818,0.1181,../results/context_dependence_test_10/borzoi/H3C7_chr6_26250635_-.pickle,4.14,enhancing,PC-3
4193,0.855,0.1321,../results/context_dependence_test_10/borzoi/C17orf75_chr17_32342173_-.pickle,2.686,enhancing,PC-3
8531,0.772,0.1595,../results/context_dependence_test_10/borzoi/SUMO3_chr21_44818051_-.pickle,6.49,enhancing,PC-3
3914,0.756,0.08746,../results/context_dependence_test_10/borzoi/ZBTB45_chr19_58519751_-.pickle,2.791,enhancing,PC-3
3053,0.712,0.10474,../results/context_dependence_test_10/borzoi/CDKN2B_chr9_22009272_-.pickle,2.807,enhancing,PC-3
7020,0.733,0.1896,../results/context_dependence_test_10/borzoi/RAD9B_chr12_110502199_+.pickle,5.324,enhancing,PC-3
2878,0.8687,0.1306,../results/context_dependence_test_10/borzoi/ZBTB6_chr9_122913323_-.pickle,4.027,enhancing,PC-3
6299,0.794,0.0866,../results/context_dependence_test_10/borzoi/H1-3_chr6_26234987_-.pickle,3.834,enhancing,PC-3
2221,0.7363,0.1963,../results/context_dependence_test_10/borzoi/COMMD7_chr20_32743467_-.pickle,5.246,enhancing,PC-3
8596,0.7266,0.1109,../results/context_dependence_test_10/borzoi/H2AC8_chr6_26216920_+.pickle,5.414,enhancing,PC-3
7747,0.7183,0.2235,../results/context_dependence_test_10/borzoi/MPG_chr16_78224_+.pickle,4.984,enhancing,PC-3
4581,0.77,0.0976,../results/context_dependence_test_10/borzoi/SENP1_chr12_48106079_-.pickle,4.543,enhancing,PC-3
2866,0.7734,0.0807,../results/context_dependence_test_10/borzoi/ZSCAN26_chr6_28267142_+.pickle,2.95,enhancing,PC-3
9549,0.747,0.1118,../results/context_dependence_test_10/borzoi/H2AC12_chr6_27147105_+.pickle,4.98,enhancing,PC-3
7216,0.8154,0.1185,../results/context_dependence_test_10/borzoi/MYEOV_chr11_69294157_+.pickle,1.558,enhancing,PC-3
3147,0.7183,0.0894,../results/context_dependence_test_10/borzoi/CTPS2_chrX_16712669_-.pickle,4.133,enhancing,PC-3
9520,0.774,0.08795,../results/context_dependence_test_10/borzoi/SCD_chr10_100347232_+.pickle,8.98,enhancing,PC-3
6867,0.8276,0.1364,../results/context_dependence_test_10/borzoi/PRR3_chr6_30557279_+.pickle,5.37,enhancing,PC-3
5534,0.7485,0.1825,../results/context_dependence_test_10/borzoi/KAT14_chr20_18137862_+.pickle,2.008,enhancing,PC-3
6945,0.8823,0.0689,../results/context_dependence_test_10/borzoi/H3C12_chr6_27890826_-.pickle,3.861,enhancing,PC-3
6776,0.704,0.1665,../results/context_dependence_test_10/borzoi/H4C4_chr6_26189112_-.pickle,2.973,enhancing,PC-3
7585,0.713,0.1758,../results/context_dependence_test_10/borzoi/MPV17_chr2_27323097_-.pickle,4.79,enhancing,PC-3
4845,0.711,0.1599,../results/context_dependence_test_10/borzoi/ENSG00000288529_chr6_133953303_+.pickle,2.156,enhancing,PC-3
4733,0.7783,0.10364,../results/context_dependence_test_10/borzoi/SLX4IP_chr20_10435304_+.pickle,1.877,enhancing,PC-3
8793,0.805,0.1008,../results/context_dependence_test_10/borzoi/SUPT7L_chr2_27663639_-.pickle,7.098,enhancing,PC-3
9197,0.7837,0.1892,../results/context_dependence_test_10/borzoi/ATP6V1E1_chr22_17628747_-.pickle,7.973,enhancing,PC-3
5360,0.865,0.1114,../results/context_dependence_test_10/borzoi/SLC4A1AP_chr2_27663888_+.pickle,3.105,enhancing,PC-3
2807,0.7446,0.1296,../results/context_dependence_test_10/borzoi/PAN2_chr12_56334000_-.pickle,5.12,enhancing,PC-3
9380,0.7886,0.1621,../results/context_dependence_test_10/borzoi/ANAPC16_chr10_72216011_+.pickle,8.33,enhancing,PC-3
