,trace,hypothetical_trace,sorted_effects,log_trace,log_hypothetical_trace,log_sorted_effects,cell_line,context,seq_id
0,1.0,1.0,-0.4706994,1.0,1.0,-0.16218166,PC-3,enhancing,ALDH3B1_chr11_68010326_+
1,0.5239061,0.52930063,-0.24445789,0.835899,0.8378183,-0.072126664,PC-3,enhancing,ALDH3B1_chr11_68010326_+
2,0.3753546,0.28484267,-0.05509539,0.75125414,0.7656917,-0.014461211,PC-3,enhancing,ALDH3B1_chr11_68010326_+
3,0.23823042,0.2297473,-0.067468196,0.6358445,0.7512305,-0.017742652,PC-3,enhancing,ALDH3B1_chr11_68010326_+
4,0.15986073,0.1622791,-0.10021091,0.5345739,0.7334878,-0.026831288,PC-3,enhancing,ALDH3B1_chr11_68010326_+
5,0.13062565,0.06206819,-0.06461199,0.48330396,0.7066565,-0.01714765,PC-3,enhancing,ALDH3B1_chr11_68010326_+
6,0.11548849,-0.0025437984,-0.037405062,0.45203835,0.68950886,-0.00971523,PC-3,enhancing,ALDH3B1_chr11_68010326_+
7,0.096479625,-0.03994886,-0.026716936,0.40638578,0.67979366,-0.006879541,PC-3,enhancing,ALDH3B1_chr11_68010326_+
8,0.0828614,-0.0666658,-0.011984153,0.36775896,0.6729141,-0.0031723795,PC-3,enhancing,ALDH3B1_chr11_68010326_+
9,0.07067416,-0.078649946,-0.02853948,0.32737377,0.66974175,-0.007353558,PC-3,enhancing,ALDH3B1_chr11_68010326_+
10,0.06135905,-0.10718943,-0.032687705,0.29149497,0.66238815,-0.008449995,PC-3,enhancing,ALDH3B1_chr11_68010326_+
11,0.05367059,-0.13987714,-0.011073437,0.25750986,0.6539382,-0.0028307263,PC-3,enhancing,ALDH3B1_chr11_68010326_+
12,0.046766564,-0.15095057,-0.016251015,0.22255522,0.65110743,-0.0041630217,PC-3,enhancing,ALDH3B1_chr11_68010326_+
13,0.040911887,-0.1672016,-0.01188905,0.18860303,0.6469444,-0.0030431626,PC-3,enhancing,ALDH3B1_chr11_68010326_+
14,0.036531363,-0.17909063,0.009283335,0.15985437,0.6439013,0.002341155,PC-3,enhancing,ALDH3B1_chr11_68010326_+
15,0.03140142,-0.1698073,0.007590043,0.12144194,0.64624244,0.001917009,PC-3,enhancing,ALDH3B1_chr11_68010326_+
16,0.028611936,-0.16221726,-0.00061783474,0.09782628,0.64815944,-0.00016111252,PC-3,enhancing,ALDH3B1_chr11_68010326_+
17,0.025186671,-0.16283509,-0.0060020247,0.0654578,0.64799833,-0.0015302058,PC-3,enhancing,ALDH3B1_chr11_68010326_+
18,0.023149176,-0.16883712,0.0010251959,0.044043902,0.6464681,0.0002569206,PC-3,enhancing,ALDH3B1_chr11_68010326_+
19,0.020901725,-0.16781193,0.00871294,0.018118601,0.646725,0.0022012256,PC-3,enhancing,ALDH3B1_chr11_68010326_+
20,0.019207176,-0.15909898,0.00416426,-0.003344043,0.64892626,0.0010472919,PC-3,enhancing,ALDH3B1_chr11_68010326_+
21,0.017509706,-0.15493472,0.006152957,-0.026832633,0.6499736,0.0015565939,PC-3,enhancing,ALDH3B1_chr11_68010326_+
22,0.015810566,-0.14878176,0.00021737805,-0.052745085,0.65153015,5.465237e-05,PC-3,enhancing,ALDH3B1_chr11_68010326_+
23,0.014833039,-0.14856438,0.007414982,-0.06894632,0.6515848,0.0018732508,PC-3,enhancing,ALDH3B1_chr11_68010326_+
24,0.013959322,-0.1411494,-0.039313283,-0.08435756,0.65345806,-0.010192576,PC-3,enhancing,ALDH3B1_chr11_68010326_+
0,1.0,1.0,-0.5744754,1.0,1.0,-0.18418771,PC-3,enhancing,SQOR_chr15_45635028_+
1,0.43219972,0.4255246,-0.10218994,0.8206377,0.8158123,-0.023071975,PC-3,enhancing,SQOR_chr15_45635028_+
2,0.31563455,0.32333463,-0.091986746,0.7534351,0.7927403,-0.020718552,PC-3,enhancing,SQOR_chr15_45635028_+
3,0.22374901,0.23134789,-0.052855097,0.67986995,0.7720218,-0.011624892,PC-3,enhancing,SQOR_chr15_45635028_+
4,0.17588592,0.1784928,-0.056940153,0.628407,0.7603969,-0.012633022,PC-3,enhancing,SQOR_chr15_45635028_+
5,0.13904828,0.121552646,-0.0018219724,0.5781575,0.7477639,-0.0004033334,PC-3,enhancing,SQOR_chr15_45635028_+
6,0.11241153,0.119730674,0.01609305,0.53268874,0.7473605,0.0032865147,PC-3,enhancing,SQOR_chr15_45635028_+
7,0.07150167,0.13582373,-0.008933119,0.43594912,0.750647,-0.0019213392,PC-3,enhancing,SQOR_chr15_45635028_+
8,0.057851676,0.1268906,-0.04283929,0.39065495,0.7487257,-0.009369243,PC-3,enhancing,SQOR_chr15_45635028_+
9,0.042062316,0.08405131,-0.04765433,0.3225057,0.73935646,-0.01049982,PC-3,enhancing,SQOR_chr15_45635028_+
10,0.030310266,0.036396984,-0.021019574,0.2524459,0.7288566,-0.004572063,PC-3,enhancing,SQOR_chr15_45635028_+
11,0.022376968,0.015377411,-0.02673218,0.18756287,0.7242846,-0.005819277,PC-3,enhancing,SQOR_chr15_45635028_+
12,0.018896945,-0.01135477,-0.055140693,0.15142134,0.71846527,-0.012133545,PC-3,enhancing,SQOR_chr15_45635028_+
13,0.013182781,-0.06649546,0.012009339,0.07442902,0.70633173,0.0025320488,PC-3,enhancing,SQOR_chr15_45635028_+
14,0.0106109055,-0.054486122,-0.0037986755,0.02802497,0.7088638,-0.0008149251,PC-3,enhancing,SQOR_chr15_45635028_+
15,0.009551987,-0.058284797,0.010283443,0.0055459505,0.7080489,0.002186014,PC-3,enhancing,SQOR_chr15_45635028_+
16,0.008726677,-0.048001356,0.020443188,-0.013775327,0.7102349,0.004320337,PC-3,enhancing,SQOR_chr15_45635028_+
17,0.0072911098,-0.027558168,-0.013041539,-0.052204024,0.7145552,-0.0028197654,PC-3,enhancing,SQOR_chr15_45635028_+
18,0.0054890676,-0.040599708,-0.0025817787,-0.11290548,0.7117354,-0.0005557559,PC-3,enhancing,SQOR_chr15_45635028_+
19,0.0047629634,-0.043181486,-0.002561967,-0.14324331,0.7111797,-0.0005706413,PC-3,enhancing,SQOR_chr15_45635028_+
20,0.004053944,-0.045743454,-0.032384783,-0.17770596,0.7106091,-0.007043347,PC-3,enhancing,SQOR_chr15_45635028_+
21,0.0036177582,-0.07812823,-0.0060339966,-0.20204571,0.7035657,-0.0012971716,PC-3,enhancing,SQOR_chr15_45635028_+
22,0.003203614,-0.084162235,0.0032426678,-0.22804025,0.70226854,0.0006916617,PC-3,enhancing,SQOR_chr15_45635028_+
