,Chromosome,Start,gene_name,gene_id,Strand,K562
37382,chr15,84981855,PDE8A,ENSG00000073417.15,+,13.21668815612793
53113,chrX,63755089,ARHGEF9,ENSG00000131089.17,-,13.22295093536377
48972,chr20,45406618,DBNDD2,ENSG00000244274.9,+,13.225262641906738
7594,chr2,74502984,LBX2,ENSG00000179528.16,-,13.235672950744629
10982,chr3,53046073,SFMBT1,ENSG00000163935.14,-,13.237733840942383
44445,chr18,24397824,OSBPL1A,ENSG00000141447.19,-,13.238326072692871
10019,chr3,141738473,ENSG00000285558,ENSG00000285558.1,+,13.265501022338867
47837,chr19,43820634,LYPD5,ENSG00000159871.15,-,13.270944595336914
532,chr1,26993691,TRNP1,ENSG00000253368.4,+,13.288775444030762
19985,chr7,102433569,ORAI2,ENSG00000160991.17,+,13.297462463378906
45652,chr19,35041720,HPN,ENSG00000105707.15,+,13.299078941345215
7535,chr2,71227103,PAIP2B,ENSG00000124374.9,-,13.319238662719727
51138,chr22,30387411,RNF215,ENSG00000099999.15,-,13.328214645385742
39233,chr16,58249935,CCDC113,ENSG00000103021.10,+,13.343173027038574
31866,chr12,56266941,COQ10A,ENSG00000135469.14,+,13.391412734985352
25539,chr9,136545997,NOTCH1,ENSG00000148400.13,-,13.418732643127441
42879,chr17,37406836,ACACA,ENSG00000278540.5,-,13.41915512084961
3458,chr1,40862363,CITED4,ENSG00000179862.7,-,13.427040100097656
28348,chr11,60924480,TMEM132A,ENSG00000006118.15,+,13.43094539642334
16644,chr6,14117771,CD83,ENSG00000112149.10,+,13.43291187286377
7187,chr2,27119030,CGREF1,ENSG00000138028.17,-,13.43620777130127
37095,chr15,64841914,PLEKHO2,ENSG00000241839.10,+,13.436664581298828
39433,chr16,70454594,FCSK,ENSG00000157353.17,+,13.444528579711914
49919,chr21,36385391,CHAF1B,ENSG00000159259.8,+,13.445184707641602
41939,chr17,74987631,CDR2L,ENSG00000109089.7,+,13.4468994140625
15607,chr5,42811892,SELENOP,ENSG00000250722.6,-,13.448530197143555
8180,chr2,177618742,TTC30A,ENSG00000197557.7,-,13.469717025756836
7945,chr2,151261863,RBM43,ENSG00000184898.7,-,13.475946426391602
