,0,context,seq_id,cell_line
wt,51.376225,enhancing,ALDH3B1_chr11_68010326_+,PC-3
greedy_it1,53.35447,enhancing,ALDH3B1_chr11_68010326_+,PC-3
greedy_it2,49.676315,enhancing,ALDH3B1_chr11_68010326_+,PC-3
two_cres_shuffled,53.58952,enhancing,ALDH3B1_chr11_68010326_+,PC-3
wt,107.37497,enhancing,SQOR_chr15_45635028_+,PC-3
greedy_it1,110.01495,enhancing,SQOR_chr15_45635028_+,PC-3
greedy_it2,109.46001,enhancing,SQOR_chr15_45635028_+,PC-3
two_cres_shuffled,113.09015,enhancing,SQOR_chr15_45635028_+,PC-3
wt,15.322033,enhancing,KLHDC8B_chr3_49171597_+,PC-3
greedy_it1,17.429325,enhancing,KLHDC8B_chr3_49171597_+,PC-3
greedy_it2,16.03271,enhancing,KLHDC8B_chr3_49171597_+,PC-3
two_cres_shuffled,17.821812,enhancing,KLHDC8B_chr3_49171597_+,PC-3
wt,29.648537,enhancing,SMPDL3B_chr1_27934999_+,PC-3
greedy_it1,30.7816,enhancing,SMPDL3B_chr1_27934999_+,PC-3
greedy_it2,30.734385,enhancing,SMPDL3B_chr1_27934999_+,PC-3
two_cres_shuffled,31.630827,enhancing,SMPDL3B_chr1_27934999_+,PC-3
wt,19.931658,enhancing,PKIG_chr20_44531908_+,PC-3
greedy_it1,20.85306,enhancing,PKIG_chr20_44531908_+,PC-3
greedy_it2,20.841,enhancing,PKIG_chr20_44531908_+,PC-3
two_cres_shuffled,21.64891,enhancing,PKIG_chr20_44531908_+,PC-3
wt,84.94381,enhancing,PLAU_chr10_73911131_+,PC-3
greedy_it1,88.954605,enhancing,PLAU_chr10_73911131_+,PC-3
greedy_it2,87.12095,enhancing,PLAU_chr10_73911131_+,PC-3
two_cres_shuffled,91.2803,enhancing,PLAU_chr10_73911131_+,PC-3
wt,336.25537,enhancing,CD9_chr12_6200384_+,PC-3
greedy_it1,355.9288,enhancing,CD9_chr12_6200384_+,PC-3
greedy_it2,339.07806,enhancing,CD9_chr12_6200384_+,PC-3
two_cres_shuffled,357.53418,enhancing,CD9_chr12_6200384_+,PC-3
wt,153.22125,enhancing,PTPRF_chr1_43530882_+,PC-3
greedy_it1,158.80698,enhancing,PTPRF_chr1_43530882_+,PC-3
greedy_it2,156.3273,enhancing,PTPRF_chr1_43530882_+,PC-3
two_cres_shuffled,162.11945,enhancing,PTPRF_chr1_43530882_+,PC-3
wt,22.826445,enhancing,CARD8_chr19_48255946_-,PC-3
greedy_it1,25.192814,enhancing,CARD8_chr19_48255946_-,PC-3
greedy_it2,23.32097,enhancing,CARD8_chr19_48255946_-,PC-3
two_cres_shuffled,26.034384,enhancing,CARD8_chr19_48255946_-,PC-3
wt,24.766655,enhancing,ANGPTL4_chr19_8364154_+,PC-3
greedy_it1,26.846954,enhancing,ANGPTL4_chr19_8364154_+,PC-3
greedy_it2,25.977337,enhancing,ANGPTL4_chr19_8364154_+,PC-3
two_cres_shuffled,28.35127,enhancing,ANGPTL4_chr19_8364154_+,PC-3
wt,15.37015,enhancing,FXYD6_chr11_117876658_-,PC-3
greedy_it1,17.717896,enhancing,FXYD6_chr11_117876658_-,PC-3
greedy_it2,16.115818,enhancing,FXYD6_chr11_117876658_-,PC-3
two_cres_shuffled,19.62536,enhancing,FXYD6_chr11_117876658_-,PC-3
wt,223.66208,enhancing,GADD45GIP1_chr19_12957223_-,PC-3
greedy_it1,226.25415,enhancing,GADD45GIP1_chr19_12957223_-,PC-3
greedy_it2,225.75357,enhancing,GADD45GIP1_chr19_12957223_-,PC-3
two_cres_shuffled,227.28583,enhancing,GADD45GIP1_chr19_12957223_-,PC-3
wt,19.842106,enhancing,RNFT2_chr12_116738290_+,PC-3
greedy_it1,21.29484,enhancing,RNFT2_chr12_116738290_+,PC-3
greedy_it2,20.386654,enhancing,RNFT2_chr12_116738290_+,PC-3
two_cres_shuffled,22.766197,enhancing,RNFT2_chr12_116738290_+,PC-3
wt,106.43642,enhancing,UCHL1_chr4_41256927_+,PC-3
greedy_it1,108.05509,enhancing,UCHL1_chr4_41256927_+,PC-3
greedy_it2,107.944885,enhancing,UCHL1_chr4_41256927_+,PC-3
two_cres_shuffled,109.3609,enhancing,UCHL1_chr4_41256927_+,PC-3
wt,140.67593,enhancing,ABCC3_chr17_50634880_+,PC-3
greedy_it1,144.2628,enhancing,ABCC3_chr17_50634880_+,PC-3
greedy_it2,142.97397,enhancing,ABCC3_chr17_50634880_+,PC-3
two_cres_shuffled,147.20023,enhancing,ABCC3_chr17_50634880_+,PC-3
wt,24.90425,enhancing,AK5_chr1_77282018_+,PC-3
greedy_it1,26.080652,enhancing,AK5_chr1_77282018_+,PC-3
greedy_it2,25.476473,enhancing,AK5_chr1_77282018_+,PC-3
two_cres_shuffled,26.978233,enhancing,AK5_chr1_77282018_+,PC-3
wt,15.249323,enhancing,ADRA1B_chr5_159916481_+,PC-3
greedy_it1,16.553204,enhancing,ADRA1B_chr5_159916481_+,PC-3
greedy_it2,15.796534,enhancing,ADRA1B_chr5_159916481_+,PC-3
two_cres_shuffled,17.324951,enhancing,ADRA1B_chr5_159916481_+,PC-3
wt,26.301777,enhancing,SLC16A4_chr1_110391026_-,PC-3
greedy_it1,32.53415,enhancing,SLC16A4_chr1_110391026_-,PC-3
greedy_it2,27.182623,enhancing,SLC16A4_chr1_110391026_-,PC-3
two_cres_shuffled,34.325035,enhancing,SLC16A4_chr1_110391026_-,PC-3
wt,72.877,enhancing,ADIRF_chr10_86968481_+,PC-3
greedy_it1,74.93612,enhancing,ADIRF_chr10_86968481_+,PC-3
greedy_it2,73.96595,enhancing,ADIRF_chr10_86968481_+,PC-3
two_cres_shuffled,76.99882,enhancing,ADIRF_chr10_86968481_+,PC-3
wt,24.091923,enhancing,OLFML2A_chr9_124777132_+,PC-3
greedy_it1,24.473972,enhancing,OLFML2A_chr9_124777132_+,PC-3
greedy_it2,24.209517,enhancing,OLFML2A_chr9_124777132_+,PC-3
two_cres_shuffled,24.854858,enhancing,OLFML2A_chr9_124777132_+,PC-3
wt,214.65121,enhancing,CAMK2N1_chr1_20486210_-,PC-3
greedy_it1,215.67923,enhancing,CAMK2N1_chr1_20486210_-,PC-3
greedy_it2,215.54549,enhancing,CAMK2N1_chr1_20486210_-,PC-3
two_cres_shuffled,217.03732,enhancing,CAMK2N1_chr1_20486210_-,PC-3
wt,44.95279,enhancing,CCDC120_chrX_49053571_+,PC-3
greedy_it1,57.41513,enhancing,CCDC120_chrX_49053571_+,PC-3
greedy_it2,50.18392,enhancing,CCDC120_chrX_49053571_+,PC-3
two_cres_shuffled,60.50107,enhancing,CCDC120_chrX_49053571_+,PC-3
wt,46.581955,enhancing,DPYSL3_chr5_147510068_-,PC-3
greedy_it1,47.681953,enhancing,DPYSL3_chr5_147510068_-,PC-3
greedy_it2,47.403687,enhancing,DPYSL3_chr5_147510068_-,PC-3
two_cres_shuffled,48.719364,enhancing,DPYSL3_chr5_147510068_-,PC-3
wt,45.208717,enhancing,ENSG00000256500_chr14_103562961_+,PC-3
greedy_it1,47.365047,enhancing,ENSG00000256500_chr14_103562961_+,PC-3
greedy_it2,47.165955,enhancing,ENSG00000256500_chr14_103562961_+,PC-3
two_cres_shuffled,49.28423,enhancing,ENSG00000256500_chr14_103562961_+,PC-3
wt,56.909416,enhancing,MIF4GD_chr17_75271227_-,PC-3
greedy_it1,58.710285,enhancing,MIF4GD_chr17_75271227_-,PC-3
greedy_it2,58.573994,enhancing,MIF4GD_chr17_75271227_-,PC-3
