,Chromosome,Start,gene_name,gene_id,Strand,PC-3
18420,chr6,43576038,XPO5,ENSG00000124571.18,-,14.784539222717285
29211,chr11,118956297,UPK2,ENSG00000110375.3,+,14.787729263305664
28811,chr11,73647625,PLEKHB1,ENSG00000021300.14,+,14.799354553222656
48428,chr19,58002819,ZNF606,ENSG00000166704.13,-,14.801679611206055
34582,chr13,45418373,SLC25A30,ENSG00000174032.17,-,14.805020332336426
5721,chr2,74554730,DOK1,ENSG00000115325.14,+,14.80539321899414
14783,chr5,132073788,CSF2,ENSG00000164400.6,+,14.811063766479492
24766,chr9,27529814,MOB3B,ENSG00000120162.10,-,14.81347370147705
41793,chr17,62627669,MRC2,ENSG00000011028.14,+,14.826478958129883
49028,chr20,47501901,NCOA3,ENSG00000124151.19,+,14.841595649719238
50883,chr22,45413692,RIBC2,ENSG00000128408.9,+,14.859695434570312
228,chr1,12167002,TNFRSF1B,ENSG00000028137.19,+,14.868016242980957
3654,chr1,54764523,PARS2,ENSG00000162396.6,-,14.87553596496582
48416,chr19,57916591,ZNF417,ENSG00000173480.11,-,14.875722885131836
3449,chr1,39901919,MYCL,ENSG00000116990.12,-,14.877174377441406
2969,chr1,6602869,KLHL21,ENSG00000162413.17,-,14.880884170532227
25849,chr10,45374215,ALOX5,ENSG00000012779.12,+,14.883197784423828
48414,chr19,57916591,ENSG00000269476,ENSG00000269476.1,-,14.883384704589844
27340,chr10,102120368,LDB1,ENSG00000198728.11,-,14.889427185058594
35918,chr14,21526227,SALL2,ENSG00000165821.12,-,14.893067359924316
31750,chr12,54016930,HOXC4,ENSG00000198353.8,+,14.900718688964844
47161,chr19,12156731,ZNF625-ZNF20,ENSG00000213297.8,-,14.907062530517578
32605,chr12,1811760,CACNA2D4,ENSG00000151062.15,-,14.930070877075195
17617,chr6,130366016,TMEM200A,ENSG00000164484.12,+,14.946447372436523
36638,chr14,105168776,JAG2,ENSG00000184916.9,-,14.94682788848877
33042,chr12,47758880,RAPGEF3,ENSG00000079337.16,-,14.952970504760742
52171,chrX,101485455,ARMCX4,ENSG00000196440.12,+,14.955888748168945
44057,chr18,24014753,TTC39C,ENSG00000168234.13,+,14.95844841003418
20309,chr7,142770966,PRSS2,ENSG00000275896.7,+,14.95871353149414
22892,chr8,28490237,FBXO16,ENSG00000214050.8,-,14.96955680847168
30993,chr11,124762290,ESAM,ENSG00000149564.12,-,14.970837593078613
29392,chr11,130448644,ADAMTS15,ENSG00000166106.4,+,14.974411010742188
21559,chr7,149090782,ZNF786,ENSG00000197362.15,-,14.97742748260498
14836,chr5,134905119,PCBD2,ENSG00000132570.15,+,14.978774070739746
30870,chr11,117232073,PCSK7,ENSG00000160613.15,-,14.978896141052246
34470,chr13,28718970,SLC46A3,ENSG00000139508.15,-,14.9814453125
17173,chr6,43059894,KLC4,ENSG00000137171.15,+,14.988838195800781
33546,chr12,89708836,ATP2B1,ENSG00000070961.17,-,14.992366790771484
25119,chr9,96854514,ZNF782,ENSG00000196597.13,-,14.994232177734375
42535,chr17,8376704,KRBA2,ENSG00000184619.8,-,14.997387886047363
45264,chr19,12995474,NFIX,ENSG00000008441.19,+,14.998861312866211
45231,chr19,11925110,ENSG00000267179,ENSG00000267179.1,+,15.011554718017578
14960,chr5,141094605,PCDHB2,ENSG00000112852.7,+,15.019140243530273
35465,chr14,75278827,FOS,ENSG00000170345.10,+,15.024560928344727
26604,chr10,128047569,PTPRE,ENSG00000132334.17,+,15.037662506103516
44181,chr18,45825674,SIGLEC15,ENSG00000197046.12,+,15.037839889526367
6331,chr2,176188667,HOXD1,ENSG00000128645.15,+,15.06364631652832
18092,chr6,29633135,GABBR1,ENSG00000204681.11,-,15.067848205566406
41398,chr17,42761226,RAMP2,ENSG00000131477.11,+,15.06801986694336
30266,chr11,64917209,ATG2A,ENSG00000110046.14,-,15.068033218383789
20176,chr7,129188632,SMO,ENSG00000128602.11,+,15.082695960998535
37564,chr15,33068162,FMN1,ENSG00000248905.10,-,15.089883804321289
52354,chrX,123859711,XIAP,ENSG00000101966.14,+,15.09122085571289
18177,chr6,32130288,FKBPL,ENSG00000204315.4,-,15.098228454589844
50293,chr21,43427131,SIK1,ENSG00000142178.9,-,15.098426818847656
34700,chr13,77326988,ENSG00000288716,ENSG00000288716.1,-,15.11514949798584
3524,chr1,45500073,CCDC163,ENSG00000280670.3,-,15.11789608001709
9709,chr3,113948012,ZDHHC23,ENSG00000184307.17,+,15.12654972076416
47116,chr19,11197545,KANK2,ENSG00000197256.11,-,15.131149291992188
11905,chr3,196318222,ENSG00000272741,ENSG00000272741.1,-,15.13334846496582
14218,chr5,35617862,SPEF2,ENSG00000152582.14,+,15.134136199951172
48219,chr19,52857600,ZNF28,ENSG00000198538.11,-,15.140403747558594
25663,chr10,11742381,ECHDC3,ENSG00000134463.15,+,15.175159454345703
17910,chr6,3751713,PXDC1,ENSG00000168994.14,-,15.179699897766113
37229,chr15,74541205,ARID3B,ENSG00000179361.18,+,15.191726684570312
24592,chr9,137225173,CYSRT1,ENSG00000197191.7,+,15.196533203125
29451,chr11,796263,SLC25A22,ENSG00000177542.11,-,15.202352523803711
46435,chr19,52336311,ZNF610,ENSG00000167554.15,+,15.207844734191895
18755,chr6,107958208,SEC63,ENSG00000025796.14,-,15.216493606567383
45036,chr19,7069704,ZNF557,ENSG00000130544.12,+,15.218263626098633
29378,chr11,128694071,FLI1,ENSG00000151702.18,+,15.231423377990723
52000,chrX,69616116,EDA,ENSG00000158813.18,+,15.242692947387695
47610,chr19,37779563,ZNF573,ENSG00000189144.15,-,15.244847297668457
15183,chr5,159916481,ADRA1B,ENSG00000170214.5,+,15.249322891235352
35140,chr14,49598939,LRR1,ENSG00000165501.17,+,15.250722885131836
40368,chr16,67416474,ZDHHC1,ENSG00000159714.12,-,15.288026809692383
14339,chr5,61332257,ZSWIM6,ENSG00000130449.6,+,15.30311107635498
26627,chr10,132332154,LRRC27,ENSG00000148814.18,+,15.307585716247559
45227,chr19,11925067,ZNF700,ENSG00000196757.8,+,15.30820083618164
31921,chr12,57755102,MARCHF9,ENSG00000139266.6,+,15.310794830322266
9292,chr3,49171597,KLHDC8B,ENSG00000185909.15,+,15.320466995239258
