,Chromosome,Start,gene_name,gene_id,Strand,"GM12878 ENCODE, biol_"
37467,chr15,92900323,CHD2,ENSG00000173575.24,+,55.1875
18388,chr6,42451926,TRERF1,ENSG00000124496.13,-,55.1875
11877,chr3,194633421,TMEM44,ENSG00000145014.18,-,55.21875
21008,chr7,87600884,ABCB1,ENSG00000085563.15,-,55.21875
18592,chr6,79947553,ELOVL4,ENSG00000118402.6,-,55.21875
32236,chr12,106774670,RIC8B,ENSG00000111785.21,+,55.25
41965,chr17,75525725,LLGL2,ENSG00000073350.14,+,55.25
37431,chr15,90352339,ZNF774,ENSG00000196391.11,+,55.25
50224,chr21,34615113,RCAN1,ENSG00000159200.18,-,55.28125
4499,chr1,160862887,CD244,ENSG00000122223.13,-,55.28125
48599,chr20,11890722,BTBD3,ENSG00000132640.15,+,55.3125
14331,chr5,58491434,GAPT,ENSG00000175857.9,+,55.34375
12605,chr4,101790729,BANK1,ENSG00000153064.12,+,55.375
40677,chr17,1762059,SERPINF1,ENSG00000132386.11,+,55.375
50623,chr22,31081318,SMTN,ENSG00000183963.19,+,55.375
37932,chr15,64825647,PIF1,ENSG00000140451.13,-,55.40625
14251,chr5,38846011,OSMR,ENSG00000145623.13,+,55.40625
13135,chr4,6200549,JAKMIP1,ENSG00000152969.21,-,55.40625
45471,chr19,18637027,KLHL26,ENSG00000167487.12,+,55.4375
16595,chr6,7541670,DSP,ENSG00000096696.16,+,55.4375
26045,chr10,73911103,PLAU,ENSG00000122861.16,+,55.5
7703,chr2,95165668,ZNF514,ENSG00000144026.14,-,55.5
40097,chr16,28610044,SULT1A1,ENSG00000196502.14,-,55.53125
11272,chr3,120450991,FSTL1,ENSG00000163430.13,-,55.53125
22348,chr8,98064567,ERICH5,ENSG00000177459.11,+,55.625
13030,chr4,185209597,SNX25,ENSG00000109762.17,+,55.65625
7869,chr2,127885956,AMMECR1L,ENSG00000144233.12,-,55.65625
38679,chr16,8674616,ABAT,ENSG00000183044.12,+,55.65625
28762,chr11,72080858,LRTOMT,ENSG00000284922.2,+,55.6875
39136,chr16,55479197,MMP2,ENSG00000087245.13,+,55.6875
31907,chr12,57604823,DTX3,ENSG00000178498.16,+,55.6875
16907,chr6,31494880,MICB,ENSG00000204516.10,+,55.71875
36959,chr15,48178437,SLC12A1,ENSG00000074803.21,+,55.71875
50963,chr22,17219424,ADA2,ENSG00000093072.19,-,55.71875
39959,chr16,15094311,RRN3,ENSG00000085721.13,-,55.75
24215,chr9,122371079,PTGS1,ENSG00000095303.17,+,55.78125
6414,chr2,189674669,ANKAR,ENSG00000151687.15,+,55.78125
39666,chr16,89923344,TUBB3,ENSG00000258947.8,+,55.8125
51174,chr22,31630831,PISD,ENSG00000241878.12,-,55.8125
20664,chr7,27095996,HOXA1,ENSG00000105991.10,-,55.8125
16154,chr5,140346603,HBEGF,ENSG00000113070.8,-,55.90625
8509,chr2,221572304,EPHA4,ENSG00000116106.12,-,55.9375
34119,chr13,44373823,SERP2,ENSG00000151778.11,+,55.9375
22689,chr8,8893630,MFHAS1,ENSG00000147324.11,-,55.9375
47512,chr19,34773200,ZNF599,ENSG00000153896.19,-,55.96875
28861,chr11,75768732,DGAT2,ENSG00000062282.15,+,55.96875
26760,chr10,14838037,CDNF,ENSG00000185267.10,-,55.96875
3179,chr1,23913362,CNR2,ENSG00000188822.8,-,56.0
26313,chr10,97319270,FRAT1,ENSG00000165879.9,+,56.0
44700,chr18,67516720,DSEL,ENSG00000171451.15,-,56.0
9755,chr3,122055361,CD86,ENSG00000114013.16,+,56.0
8627,chr2,238239971,HES6,ENSG00000144485.11,-,56.03125
9656,chr3,111071815,NECTIN3,ENSG00000177707.11,+,56.03125
20412,chr7,150716612,GIMAP1,ENSG00000213203.3,+,56.0625
11561,chr3,149377649,TM4SF1,ENSG00000169908.12,-,56.0625
42870,chr17,36196758,CCL3L3,ENSG00000276085.1,-,56.09375
47776,chr19,42528478,CEACAM1,ENSG00000079385.23,-,56.125
2697,chr1,232805415,MAP10,ENSG00000212916.6,+,56.125
9101,chr3,40506038,ZNF620,ENSG00000177842.12,+,56.125
43703,chr17,76240493,RNF157,ENSG00000141576.16,-,56.15625
15581,chr5,39203027,FYB1,ENSG00000082074.19,-,56.1875
41927,chr17,74737229,RAB37,ENSG00000172794.20,+,56.21875
7468,chr2,63588518,WDPCP,ENSG00000143951.16,-,56.21875
48256,chr19,53254831,ZNF677,ENSG00000197928.11,-,56.21875
25353,chr9,127569073,NIBAN2,ENSG00000136830.12,-,56.25
46475,chr19,53538142,ZNF331,ENSG00000130844.19,+,56.25
26652,chr10,133379261,PAOX,ENSG00000148832.16,+,56.25
41253,chr17,38297167,MRPL45,ENSG00000278845.5,+,56.375
29273,chr11,122655721,UBASH3B,ENSG00000154127.10,+,56.375
52016,chrX,70455095,DLG3,ENSG00000082458.12,+,56.375
46470,chr19,53467732,ZNF813,ENSG00000198346.11,+,56.4375
50768,chr22,39349924,SYNGR1,ENSG00000100321.15,+,56.4375
9197,chr3,44729634,ZNF501,ENSG00000186446.12,+,56.4375
10024,chr3,142596392,PLS1,ENSG00000120756.13,+,56.46875
36702,chr15,30903851,FAN1,ENSG00000198690.10,+,56.46875
38008,chr15,70854157,LARP6,ENSG00000166173.11,-,56.5
49915,chr21,36135078,CBR3,ENSG00000159231.6,+,56.5
23478,chr8,132760582,TMEM71,ENSG00000165071.15,-,56.53125
46406,chr19,51571282,ZNF175,ENSG00000105497.8,+,56.53125
41495,chr17,45161894,HEXIM2,ENSG00000168517.11,+,56.5625
22212,chr8,70669338,XKR9,ENSG00000221947.8,+,56.5625
6593,chr2,209424057,MAP2,ENSG00000078018.22,+,56.59375
40551,chr16,81077238,C16orf46,ENSG00000166455.14,-,56.59375
