,Chromosome,Start,gene_name,gene_id,Strand,"K562 ENCODE, biol_"
24552,chr9,136665791,EGFL7,ENSG00000172889.16,+,20.71875
53700,chrX,155334614,CLIC2,ENSG00000155962.13,-,20.734375
26189,chr10,88880244,STAMBPL1,ENSG00000138134.12,+,20.734375
38619,chr16,4371847,VASN,ENSG00000168140.5,+,20.75
738,chr1,39955149,MFSD2A,ENSG00000168389.18,+,20.765625
18092,chr6,29633135,GABBR1,ENSG00000204681.11,-,20.765625
51131,chr22,30289607,CASTOR1,ENSG00000239282.8,-,20.765625
39959,chr16,15094311,RRN3,ENSG00000085721.13,-,20.78125
44236,chr18,54828476,RAB27B,ENSG00000041353.10,+,20.8125
18338,chr6,39934462,MOCS1,ENSG00000124615.20,-,20.8125
13403,chr4,74038689,CXCL3,ENSG00000163734.4,-,20.8125
50376,chr22,18150169,USP18,ENSG00000184979.11,+,20.8125
39162,chr16,56625780,MT1E,ENSG00000169715.15,+,20.859375
34938,chr14,23988887,DHRS4L2,ENSG00000187630.18,+,20.875
21607,chr7,151519895,RHEB,ENSG00000106615.10,-,20.890625
40537,chr16,80804598,CDYL2,ENSG00000166446.15,-,20.890625
47175,chr19,12484816,ZNF709,ENSG00000242852.7,-,20.90625
9681,chr3,112086388,C3orf52,ENSG00000114529.13,+,20.90625
47174,chr19,12484816,ENSG00000269755,ENSG00000269755.1,-,20.90625
43175,chr17,44830287,GJC1,ENSG00000182963.11,-,20.921875
49020,chr20,46118327,CD40,ENSG00000101017.15,+,20.9375
25849,chr10,45374215,ALOX5,ENSG00000012779.12,+,20.9375
46221,chr19,47713421,EHD2,ENSG00000024422.12,+,20.9375
25414,chr9,129178261,IER5L,ENSG00000188483.8,-,20.953125
31322,chr12,12725930,APOLD1,ENSG00000178878.13,+,20.96875
44812,chr19,1067166,ARHGAP45,ENSG00000180448.11,+,20.984375
44752,chr18,80247514,PARD6G,ENSG00000178184.16,-,21.0
49187,chr20,62952706,SLC17A9,ENSG00000101194.18,+,21.0
34723,chr13,95644690,DZIP1,ENSG00000134874.18,-,21.0
40648,chr16,89701705,SPATA2L,ENSG00000158792.16,-,21.03125
23630,chr9,273045,DOCK8,ENSG00000107099.18,+,21.03125
29198,chr11,118531087,TMEM25,ENSG00000149582.16,+,21.0625
46080,chr19,44072158,ZNF284,ENSG00000186026.7,+,21.0625
51691,chrX,30653477,GK,ENSG00000198814.14,+,21.09375
24722,chr9,21031640,HACD4,ENSG00000188921.14,-,21.109375
31328,chr12,13044380,FAM234B,ENSG00000084444.14,+,21.109375
29984,chr11,47378487,SPI1,ENSG00000066336.12,-,21.125
46684,chr19,57527355,ZNF549,ENSG00000121406.9,+,21.125
25281,chr9,120877188,PHF19,ENSG00000119403.15,-,21.140625
49311,chr20,2508915,ZNF343,ENSG00000088876.13,-,21.15625
41105,chr17,28371693,SARM1,ENSG00000004139.14,+,21.171875
