,trace,hypothetical_trace,sorted_effects,log_trace,log_hypothetical_trace,log_sorted_effects,cell_line,context,seq_id
0,1.0,1.0,0.038505062,1.0,1.0,0.009478335,PC-3,enhancing,ALDH3B1_chr11_68010326_+
1,1.033454,1.0385051,-0.03308747,1.0083536,1.0094783,-0.008554785,PC-3,enhancing,ALDH3B1_chr11_68010326_+
2,1.0430801,1.0054176,0.010807643,1.0107073,1.0009235,0.0027277404,PC-3,enhancing,ALDH3B1_chr11_68010326_+
3,1.0574332,1.0162252,0.0071921013,1.0141766,1.0036513,0.001818776,PC-3,enhancing,ALDH3B1_chr11_68010326_+
4,1.065193,1.0234174,0.003135662,1.0160328,1.00547,0.0007912432,PC-3,enhancing,ALDH3B1_chr11_68010326_+
5,1.0729343,1.026553,0.021593828,1.0178711,1.0062613,0.00534242,PC-3,enhancing,ALDH3B1_chr11_68010326_+
6,1.0892825,1.0481468,-0.0010869494,1.0217099,1.0116037,-0.0002807149,PC-3,enhancing,ALDH3B1_chr11_68010326_+
7,1.0969692,1.0470599,0.0029441707,1.0234951,1.011323,0.0007436706,PC-3,enhancing,ALDH3B1_chr11_68010326_+
8,1.104003,1.050004,0.009614664,1.0251176,1.0120667,0.0024271733,PC-3,enhancing,ALDH3B1_chr11_68010326_+
9,1.110984,1.0596187,-0.0051877163,1.0267178,1.0144938,-0.0013261026,PC-3,enhancing,ALDH3B1_chr11_68010326_+
10,1.1170092,1.054431,0.0042751804,1.0280908,1.0131677,0.0010806132,PC-3,enhancing,ALDH3B1_chr11_68010326_+
11,1.1227809,1.0587062,-0.000980623,1.0293992,1.0142484,-0.0002494235,PC-3,enhancing,ALDH3B1_chr11_68010326_+
12,1.1260053,1.0577255,0.0011421915,1.0301272,1.013999,0.00028785688,PC-3,enhancing,ALDH3B1_chr11_68010326_+
13,1.1300198,1.0588677,-0.0020853924,1.0310307,1.0142868,-0.00053219625,PC-3,enhancing,ALDH3B1_chr11_68010326_+
14,1.1299566,1.0567824,-0.010114962,1.0310163,1.0137546,-0.0025828436,PC-3,enhancing,ALDH3B1_chr11_68010326_+
15,1.1231014,1.0466673,-0.0053999233,1.0294716,1.0111718,-0.0013771252,PC-3,enhancing,ALDH3B1_chr11_68010326_+
16,1.1180125,1.0412675,0.0010483392,1.0283188,1.0097946,0.0002629811,PC-3,enhancing,ALDH3B1_chr11_68010326_+
17,1.1137161,1.0423158,0.0023699936,1.0273414,1.0100576,0.0005998027,PC-3,enhancing,ALDH3B1_chr11_68010326_+
18,1.1042078,1.0446858,0.006460885,1.0251646,1.0106574,0.0016172883,PC-3,enhancing,ALDH3B1_chr11_68010326_+
19,1.0956497,1.0511467,-0.0013870689,1.0231894,1.0122747,-0.00035485803,PC-3,enhancing,ALDH3B1_chr11_68010326_+
20,1.0887065,1.0497596,-0.0077180904,1.0215756,1.0119199,-0.0019686965,PC-3,enhancing,ALDH3B1_chr11_68010326_+
21,1.0831723,1.0420415,-0.01663948,1.0202819,1.0099511,-0.004289951,PC-3,enhancing,ALDH3B1_chr11_68010326_+
22,1.0729873,1.0254021,-0.0028894483,1.0178835,1.0056612,-0.00073537865,PC-3,enhancing,ALDH3B1_chr11_68010326_+
23,1.0622481,1.0225126,-0.0069236867,1.01533,1.0049258,-0.0017699929,PC-3,enhancing,ALDH3B1_chr11_68010326_+
