,delta mean,delta std,path,wt,context,cell line
1143,0.725,0.2167,../results/context_dependence_test_10/borzoi/CHD3_chr17_7884795_+.pickle,16.19,enhancing,"GM12878 ENCODE, biol_"
2481,0.7114,0.09973,../results/context_dependence_test_10/borzoi/SLC9A7_chrX_46759118_-.pickle,7.793,enhancing,"GM12878 ENCODE, biol_"
4998,0.7397,0.1847,../results/context_dependence_test_10/borzoi/KIFBP_chr10_68988802_+.pickle,17.0,enhancing,"GM12878 ENCODE, biol_"
2556,0.7983,0.0837,../results/context_dependence_test_10/borzoi/WWTR1_chr3_149658025_-.pickle,9.45,enhancing,"GM12878 ENCODE, biol_"
2314,0.762,0.09894,../results/context_dependence_test_10/borzoi/CYP7B1_chr8_64798737_-.pickle,4.688,enhancing,"GM12878 ENCODE, biol_"
1996,0.8022,0.1004,../results/context_dependence_test_10/borzoi/TP73_chr1_3652515_+.pickle,3.121,enhancing,"GM12878 ENCODE, biol_"
5830,0.7646,0.147,../results/context_dependence_test_10/borzoi/ENSG00000258653_chr14_73851970_+.pickle,10.96,enhancing,"GM12878 ENCODE, biol_"
91,0.714,0.1478,../results/context_dependence_test_10/borzoi/ENSG00000288646_chr6_53065601_+.pickle,4.34,enhancing,"GM12878 ENCODE, biol_"
9484,0.751,0.1354,../results/context_dependence_test_10/borzoi/STMN1_chr1_25906419_-.pickle,22.62,enhancing,"GM12878 ENCODE, biol_"
9552,0.8047,0.0989,../results/context_dependence_test_10/borzoi/LRRC57_chr15_42548802_-.pickle,33.6,enhancing,"GM12878 ENCODE, biol_"
4456,0.786,0.272,../results/context_dependence_test_10/borzoi/RGPD1_chr2_86942117_+.pickle,17.23,enhancing,"GM12878 ENCODE, biol_"
9880,0.7827,0.1553,../results/context_dependence_test_10/borzoi/TPM4_chr19_16076494_+.pickle,31.33,enhancing,"GM12878 ENCODE, biol_"
3588,0.786,0.07007,../results/context_dependence_test_10/borzoi/RNASET2_chr6_166956550_-.pickle,12.87,enhancing,"GM12878 ENCODE, biol_"
1176,0.826,0.09143,../results/context_dependence_test_10/borzoi/TRDMT1_chr10_17201672_-.pickle,4.875,enhancing,"GM12878 ENCODE, biol_"
2721,0.708,0.1282,../results/context_dependence_test_10/borzoi/ADNP2_chr18_80109261_+.pickle,10.27,enhancing,"GM12878 ENCODE, biol_"
2928,0.7974,0.0731,../results/context_dependence_test_10/borzoi/RNF122_chr8_33567128_-.pickle,17.1,enhancing,"GM12878 ENCODE, biol_"
3013,0.768,0.1472,../results/context_dependence_test_10/borzoi/ZNF580_chr19_55641001_+.pickle,22.3,enhancing,"GM12878 ENCODE, biol_"
9938,0.7373,0.161,../results/context_dependence_test_10/borzoi/LAPTM5_chr1_30757774_-.pickle,25.56,enhancing,"GM12878 ENCODE, biol_"
7541,0.8735,0.06793,../results/context_dependence_test_10/borzoi/FYTTD1_chr3_197749882_+.pickle,30.02,enhancing,"GM12878 ENCODE, biol_"
2673,0.708,0.1682,../results/context_dependence_test_10/borzoi/UCHL1_chr4_41256927_+.pickle,14.72,enhancing,"GM12878 ENCODE, biol_"
1094,0.862,0.0395,../results/context_dependence_test_10/borzoi/TUBA8_chr22_18110686_+.pickle,2.07,enhancing,"GM12878 ENCODE, biol_"
1324,0.7837,0.1849,../results/context_dependence_test_10/borzoi/ATPAF1_chr1_46668427_-.pickle,19.02,enhancing,"GM12878 ENCODE, biol_"
1936,0.7188,0.0916,../results/context_dependence_test_10/borzoi/OCEL1_chr19_17226224_+.pickle,12.266,enhancing,"GM12878 ENCODE, biol_"
4436,0.739,0.1267,../results/context_dependence_test_10/borzoi/GET1_chr21_39380325_+.pickle,22.38,enhancing,"GM12878 ENCODE, biol_"
4717,0.7334,0.2471,../results/context_dependence_test_10/borzoi/CYBB_chrX_37780058_+.pickle,6.43,enhancing,"GM12878 ENCODE, biol_"
9227,0.753,0.1026,../results/context_dependence_test_10/borzoi/RPL24_chr3_101686705_-.pickle,32.62,enhancing,"GM12878 ENCODE, biol_"
949,0.7783,0.1965,../results/context_dependence_test_10/borzoi/APOO_chrX_23907938_-.pickle,17.77,enhancing,"GM12878 ENCODE, biol_"
9990,0.701,0.2367,../results/context_dependence_test_10/borzoi/SEC11C_chr18_59139883_+.pickle,24.08,enhancing,"GM12878 ENCODE, biol_"
1950,0.896,0.01852,../results/context_dependence_test_10/borzoi/ADPRH_chr3_119579589_+.pickle,5.797,enhancing,"GM12878 ENCODE, biol_"
3615,0.797,0.1796,../results/context_dependence_test_10/borzoi/TCTN1_chr12_110614127_+.pickle,15.48,enhancing,"GM12878 ENCODE, biol_"
9083,0.7485,0.1299,../results/context_dependence_test_10/borzoi/ENSG00000285942_chr15_42548786_-.pickle,33.72,enhancing,"GM12878 ENCODE, biol_"
815,0.765,0.1505,../results/context_dependence_test_10/borzoi/MB21D2_chr3_192917856_-.pickle,8.36,enhancing,"GM12878 ENCODE, biol_"
1633,0.714,0.03723,../results/context_dependence_test_10/borzoi/NINJ2_chr12_643665_-.pickle,0.6704,enhancing,"GM12878 ENCODE, biol_"
6422,0.702,0.199,../results/context_dependence_test_10/borzoi/ECHS1_chr10_133373354_-.pickle,16.53,enhancing,"GM12878 ENCODE, biol_"
4125,0.781,0.2654,../results/context_dependence_test_10/borzoi/PLP2_chrX_49171897_+.pickle,32.94,enhancing,"GM12878 ENCODE, biol_"
8895,0.7163,0.1777,../results/context_dependence_test_10/borzoi/H3C1_chr6_26020450_+.pickle,15.4,enhancing,"GM12878 ENCODE, biol_"
106,0.8813,0.07874,../results/context_dependence_test_10/borzoi/TSPOAP1_chr17_58328760_-.pickle,5.137,enhancing,"GM12878 ENCODE, biol_"
5662,0.8247,0.0918,../results/context_dependence_test_10/borzoi/GOLGA4_chr3_37243270_+.pickle,21.45,enhancing,"GM12878 ENCODE, biol_"
1166,0.7397,0.0918,../results/context_dependence_test_10/borzoi/NRCAM_chr7_108456397_-.pickle,7.215,enhancing,"GM12878 ENCODE, biol_"
1301,0.7114,0.1931,../results/context_dependence_test_10/borzoi/SELENOW_chr19_47778702_+.pickle,21.42,enhancing,"GM12878 ENCODE, biol_"
4064,0.847,0.091,../results/context_dependence_test_10/borzoi/RUBCNL_chr13_46387252_-.pickle,9.58,enhancing,"GM12878 ENCODE, biol_"
8775,0.768,0.1487,../results/context_dependence_test_10/borzoi/PNO1_chr2_68157887_+.pickle,18.31,enhancing,"GM12878 ENCODE, biol_"
8593,0.838,0.08484,../results/context_dependence_test_10/borzoi/ABHD14B_chr3_51974021_-.pickle,4.934,enhancing,"GM12878 ENCODE, biol_"
8527,0.712,0.1268,../results/context_dependence_test_10/borzoi/H3-7_chr1_143905977_-.pickle,5.45,enhancing,"GM12878 ENCODE, biol_"
1774,0.8086,0.0947,../results/context_dependence_test_10/borzoi/GAS2_chr11_22666610_+.pickle,1.471,enhancing,"GM12878 ENCODE, biol_"
1116,0.7524,0.1619,../results/context_dependence_test_10/borzoi/CREB3L4_chr1_153967901_+.pickle,7.22,enhancing,"GM12878 ENCODE, biol_"
315,0.73,0.1342,../results/context_dependence_test_10/borzoi/FAM161A_chr2_61854060_-.pickle,4.605,enhancing,"GM12878 ENCODE, biol_"
4127,0.7734,0.10223,../results/context_dependence_test_10/borzoi/COMT_chr22_19941787_+.pickle,34.44,enhancing,"GM12878 ENCODE, biol_"
168,0.7153,0.1333,../results/context_dependence_test_10/borzoi/KHDRBS2_chr6_62286225_-.pickle,4.152,enhancing,"GM12878 ENCODE, biol_"
9361,0.8076,0.1195,../results/context_dependence_test_10/borzoi/P4HA1_chr10_73096850_-.pickle,23.77,enhancing,"GM12878 ENCODE, biol_"
9781,0.7163,0.1975,../results/context_dependence_test_10/borzoi/SLC25A39_chr17_44324809_-.pickle,23.77,enhancing,"GM12878 ENCODE, biol_"
5441,0.832,0.0824,../results/context_dependence_test_10/borzoi/CYP20A1_chr2_203238981_+.pickle,19.14,enhancing,"GM12878 ENCODE, biol_"
3679,0.797,0.06305,../results/context_dependence_test_10/borzoi/MYO1E_chr15_59372871_-.pickle,10.66,enhancing,"GM12878 ENCODE, biol_"
4417,0.7446,0.1339,../results/context_dependence_test_10/borzoi/VCL_chr10_73998115_+.pickle,20.81,enhancing,"GM12878 ENCODE, biol_"
3262,0.712,0.09705,../results/context_dependence_test_10/borzoi/EXOSC6_chr16_70251940_-.pickle,16.67,enhancing,"GM12878 ENCODE, biol_"
6069,0.773,0.1459,../results/context_dependence_test_10/borzoi/CDK2AP1_chr12_123271856_-.pickle,26.2,enhancing,"GM12878 ENCODE, biol_"
