,0,context,seq_id,cell_line
wt,51.382526,enhancing,ALDH3B1_chr11_68010326_+,PC-3
greedy_it1,27.196802,enhancing,ALDH3B1_chr11_68010326_+,PC-3
greedy_it2,38.821663,enhancing,ALDH3B1_chr11_68010326_+,PC-3
two_cres_shuffled,19.286667,enhancing,ALDH3B1_chr11_68010326_+,PC-3
wt,107.44125,enhancing,SQOR_chr15_45635028_+,PC-3
greedy_it1,45.718895,enhancing,SQOR_chr15_45635028_+,PC-3
greedy_it2,96.46184,enhancing,SQOR_chr15_45635028_+,PC-3
two_cres_shuffled,33.91217,enhancing,SQOR_chr15_45635028_+,PC-3
wt,15.325389,enhancing,KLHDC8B_chr3_49171597_+,PC-3
greedy_it1,9.777117,enhancing,KLHDC8B_chr3_49171597_+,PC-3
greedy_it2,12.188369,enhancing,KLHDC8B_chr3_49171597_+,PC-3
two_cres_shuffled,6.943695,enhancing,KLHDC8B_chr3_49171597_+,PC-3
wt,29.644207,enhancing,SMPDL3B_chr1_27934999_+,PC-3
greedy_it1,14.828201,enhancing,SMPDL3B_chr1_27934999_+,PC-3
greedy_it2,23.186193,enhancing,SMPDL3B_chr1_27934999_+,PC-3
two_cres_shuffled,9.873808,enhancing,SMPDL3B_chr1_27934999_+,PC-3
wt,19.93679,enhancing,PKIG_chr20_44531908_+,PC-3
greedy_it1,15.611102,enhancing,PKIG_chr20_44531908_+,PC-3
greedy_it2,15.806059,enhancing,PKIG_chr20_44531908_+,PC-3
two_cres_shuffled,12.452646,enhancing,PKIG_chr20_44531908_+,PC-3
wt,84.96101,enhancing,PLAU_chr10_73911131_+,PC-3
greedy_it1,63.853508,enhancing,PLAU_chr10_73911131_+,PC-3
greedy_it2,72.91853,enhancing,PLAU_chr10_73911131_+,PC-3
two_cres_shuffled,46.120575,enhancing,PLAU_chr10_73911131_+,PC-3
wt,336.27435,enhancing,CD9_chr12_6200384_+,PC-3
greedy_it1,239.2294,enhancing,CD9_chr12_6200384_+,PC-3
greedy_it2,278.0891,enhancing,CD9_chr12_6200384_+,PC-3
