,Normalized TSS activity,cell_line,tile class,seq_id
0,0.02730995733059903,GM12878,Enhancer,PTGIR_chr19_46625037_-_100804
1,1.0107736623442696,GM12878,Enhancer,PTGIR_chr19_46625037_-_100804
2,2.5543048364698917,GM12878,Enhancer,PTGIR_chr19_46625037_-_100804
3,3.2332455868827448,GM12878,Enhancer,PTGIR_chr19_46625037_-_100804
4,3.5266106846087215,GM12878,Enhancer,PTGIR_chr19_46625037_-_100804
5,3.6762482121750515,GM12878,Enhancer,PTGIR_chr19_46625037_-_100804
6,3.793968104657646,GM12878,Enhancer,PTGIR_chr19_46625037_-_100804
7,3.913987521397153,GM12878,Enhancer,PTGIR_chr19_46625037_-_100804
8,3.987471308254815,GM12878,Enhancer,PTGIR_chr19_46625037_-_100804
9,4.045592259375786,GM12878,Enhancer,PTGIR_chr19_46625037_-_100804
10,4.112168799840831,GM12878,Enhancer,PTGIR_chr19_46625037_-_100804
11,4.144977814422281,GM12878,Enhancer,PTGIR_chr19_46625037_-_100804
12,4.155862880182664,GM12878,Enhancer,PTGIR_chr19_46625037_-_100804
13,4.1638415724921405,GM12878,Enhancer,PTGIR_chr19_46625037_-_100804
14,4.177376531182749,GM12878,Enhancer,PTGIR_chr19_46625037_-_100804
15,4.193601149584598,GM12878,Enhancer,PTGIR_chr19_46625037_-_100804
0,0.03164563743318425,GM12878,Enhancer,ADA_chr20_44651686_-_100804
1,0.9999999152475512,GM12878,Enhancer,ADA_chr20_44651686_-_100804
2,1.674496947987268,GM12878,Enhancer,ADA_chr20_44651686_-_100804
3,2.0792530936184797,GM12878,Enhancer,ADA_chr20_44651686_-_100804
4,2.3299583418599434,GM12878,Enhancer,ADA_chr20_44651686_-_100804
5,2.43414534397783,GM12878,Enhancer,ADA_chr20_44651686_-_100804
6,2.511740109543311,GM12878,Enhancer,ADA_chr20_44651686_-_100804
7,2.5613313253680414,GM12878,Enhancer,ADA_chr20_44651686_-_100804
8,2.5986534839112116,GM12878,Enhancer,ADA_chr20_44651686_-_100804
9,2.6213714240630384,GM12878,Enhancer,ADA_chr20_44651686_-_100804
10,2.632253453585244,GM12878,Enhancer,ADA_chr20_44651686_-_100804
11,2.6433300130919415,GM12878,Enhancer,ADA_chr20_44651686_-_100804
12,2.6595802319073556,GM12878,Enhancer,ADA_chr20_44651686_-_100804
13,2.675482580443943,GM12878,Enhancer,ADA_chr20_44651686_-_100804
14,2.6919887824740565,GM12878,Enhancer,ADA_chr20_44651686_-_100804
15,2.700156653344609,GM12878,Enhancer,ADA_chr20_44651686_-_100804
0,0.05083425974486796,GM12878,Enhancer,JAML_chr11_118225021_-_90804
1,1.3238964616880426,GM12878,Enhancer,JAML_chr11_118225021_-_90804
2,2.053102958675414,GM12878,Enhancer,JAML_chr11_118225021_-_90804
3,2.4300315083169797,GM12878,Enhancer,JAML_chr11_118225021_-_90804
4,2.6909278578585076,GM12878,Enhancer,JAML_chr11_118225021_-_90804
5,2.9253799825368207,GM12878,Enhancer,JAML_chr11_118225021_-_90804
6,3.1748266327280827,GM12878,Enhancer,JAML_chr11_118225021_-_90804
7,3.4159830497823234,GM12878,Enhancer,JAML_chr11_118225021_-_90804
8,3.683816184964601,GM12878,Enhancer,JAML_chr11_118225021_-_90804
