,Normalized TSS activity,context,cell_line,seq_id
0,0.035510786,enhancing,K562,CHST11_chr12_104456947_+
1,0.3274441,enhancing,K562,CHST11_chr12_104456947_+
2,0.82362676,enhancing,K562,CHST11_chr12_104456947_+
3,0.9034009,enhancing,K562,CHST11_chr12_104456947_+
4,0.9138944,enhancing,K562,CHST11_chr12_104456947_+
5,0.98089933,enhancing,K562,CHST11_chr12_104456947_+
6,0.97244483,enhancing,K562,CHST11_chr12_104456947_+
7,1.0010922,enhancing,K562,CHST11_chr12_104456947_+
8,1.0013283,enhancing,K562,CHST11_chr12_104456947_+
9,1.0090313,enhancing,K562,CHST11_chr12_104456947_+
10,1.005991,enhancing,K562,CHST11_chr12_104456947_+
11,0.98760253,enhancing,K562,CHST11_chr12_104456947_+
12,0.9707055,enhancing,K562,CHST11_chr12_104456947_+
13,0.9701631,enhancing,K562,CHST11_chr12_104456947_+
14,0.970357,enhancing,K562,CHST11_chr12_104456947_+
15,0.9716022,enhancing,K562,CHST11_chr12_104456947_+
16,0.99822646,enhancing,K562,CHST11_chr12_104456947_+
17,1.0185311,enhancing,K562,CHST11_chr12_104456947_+
18,1.0283034,enhancing,K562,CHST11_chr12_104456947_+
19,1.0411748,enhancing,K562,CHST11_chr12_104456947_+
20,1.0303662,enhancing,K562,CHST11_chr12_104456947_+
21,1.0212382,enhancing,K562,CHST11_chr12_104456947_+
22,1.0180234,enhancing,K562,CHST11_chr12_104456947_+
23,1.0093392,enhancing,K562,CHST11_chr12_104456947_+
24,1.0072134,enhancing,K562,CHST11_chr12_104456947_+
25,0.9909412,enhancing,K562,CHST11_chr12_104456947_+
0,0.028900968,enhancing,K562,VARS1_chr6_31795752_-
1,0.40453827,enhancing,K562,VARS1_chr6_31795752_-
2,0.4999083,enhancing,K562,VARS1_chr6_31795752_-
3,0.5737503,enhancing,K562,VARS1_chr6_31795752_-
4,0.6847814,enhancing,K562,VARS1_chr6_31795752_-
5,0.690039,enhancing,K562,VARS1_chr6_31795752_-
6,0.7486954,enhancing,K562,VARS1_chr6_31795752_-
7,0.78197825,enhancing,K562,VARS1_chr6_31795752_-
8,0.8052332,enhancing,K562,VARS1_chr6_31795752_-
9,0.8372689,enhancing,K562,VARS1_chr6_31795752_-
10,0.8886516,enhancing,K562,VARS1_chr6_31795752_-
11,0.89901125,enhancing,K562,VARS1_chr6_31795752_-
12,0.89858437,enhancing,K562,VARS1_chr6_31795752_-
13,0.91311646,enhancing,K562,VARS1_chr6_31795752_-
14,0.93592715,enhancing,K562,VARS1_chr6_31795752_-
15,0.9434776,enhancing,K562,VARS1_chr6_31795752_-
16,0.9513835,enhancing,K562,VARS1_chr6_31795752_-
17,0.9549,enhancing,K562,VARS1_chr6_31795752_-
18,0.95181316,enhancing,K562,VARS1_chr6_31795752_-
19,0.94064367,enhancing,K562,VARS1_chr6_31795752_-
20,0.93886715,enhancing,K562,VARS1_chr6_31795752_-
21,0.94266516,enhancing,K562,VARS1_chr6_31795752_-
22,0.9384664,enhancing,K562,VARS1_chr6_31795752_-
23,0.944255,enhancing,K562,VARS1_chr6_31795752_-
24,0.95485777,enhancing,K562,VARS1_chr6_31795752_-
25,0.958632,enhancing,K562,VARS1_chr6_31795752_-
0,0.0038543239,enhancing,K562,SOSTDC1_chr7_16465738_-
1,0.0023313027,enhancing,K562,SOSTDC1_chr7_16465738_-
2,0.0034328161,enhancing,K562,SOSTDC1_chr7_16465738_-
3,0.040359393,enhancing,K562,SOSTDC1_chr7_16465738_-
4,0.09543539,enhancing,K562,SOSTDC1_chr7_16465738_-
5,0.15428063,enhancing,K562,SOSTDC1_chr7_16465738_-
6,0.31988302,enhancing,K562,SOSTDC1_chr7_16465738_-
7,0.42229035,enhancing,K562,SOSTDC1_chr7_16465738_-
8,0.47269246,enhancing,K562,SOSTDC1_chr7_16465738_-
9,0.4419748,enhancing,K562,SOSTDC1_chr7_16465738_-
10,0.4504514,enhancing,K562,SOSTDC1_chr7_16465738_-
11,0.55363524,enhancing,K562,SOSTDC1_chr7_16465738_-
12,0.57844865,enhancing,K562,SOSTDC1_chr7_16465738_-
13,0.6324948,enhancing,K562,SOSTDC1_chr7_16465738_-
14,0.65221083,enhancing,K562,SOSTDC1_chr7_16465738_-
15,0.6596917,enhancing,K562,SOSTDC1_chr7_16465738_-
16,0.6344449,enhancing,K562,SOSTDC1_chr7_16465738_-
17,0.6241209,enhancing,K562,SOSTDC1_chr7_16465738_-
18,0.642787,enhancing,K562,SOSTDC1_chr7_16465738_-
19,0.65943253,enhancing,K562,SOSTDC1_chr7_16465738_-
20,0.68106085,enhancing,K562,SOSTDC1_chr7_16465738_-
21,0.6852664,enhancing,K562,SOSTDC1_chr7_16465738_-
22,0.6911527,enhancing,K562,SOSTDC1_chr7_16465738_-
23,0.69552946,enhancing,K562,SOSTDC1_chr7_16465738_-
24,0.6718441,enhancing,K562,SOSTDC1_chr7_16465738_-
25,0.6589681,enhancing,K562,SOSTDC1_chr7_16465738_-
0,0.0023109599,enhancing,K562,TFDP2_chr3_142028626_-
1,0.14520966,enhancing,K562,TFDP2_chr3_142028626_-
2,0.48258916,enhancing,K562,TFDP2_chr3_142028626_-
