,delta_mean,path,wt,std,mean_mut,seq_id,context,cell_line
3966,0.99259275,../results//context_dependence_test_100/enformer/ALDH3B1_chr11_68010326_+.pickle,51.38244,0.15913782,0.38060215,ALDH3B1_chr11_68010326_+,enhancing,PC-3
6921,0.96467185,../results//context_dependence_test_100/enformer/SQOR_chr15_45635028_+.pickle,107.44128,2.5251632,3.795702,SQOR_chr15_45635028_+,enhancing,PC-3
80,0.9684875,../results//context_dependence_test_100/enformer/KLHDC8B_chr3_49171597_+.pickle,15.325413,0.3898668,0.48294193,KLHDC8B_chr3_49171597_+,enhancing,PC-3
1969,0.99729633,../results//context_dependence_test_100/enformer/SMPDL3B_chr1_27934999_+.pickle,29.644165,0.05281283,0.0801496,SMPDL3B_chr1_27934999_+,enhancing,PC-3
790,0.9862143,../results//context_dependence_test_100/enformer/PKIG_chr20_44531908_+.pickle,19.93679,0.16337582,0.2748427,PKIG_chr20_44531908_+,enhancing,PC-3
6014,0.9633736,../results//context_dependence_test_100/enformer/PLAU_chr10_73911131_+.pickle,84.96077,1.8957636,3.1118124,PLAU_chr10_73911131_+,enhancing,PC-3
9866,0.96195185,../results//context_dependence_test_100/enformer/CD9_chr12_6200384_+.pickle,336.27734,8.752982,12.794752,CD9_chr12_6200384_+,enhancing,PC-3
8279,0.9739586,../results//context_dependence_test_100/enformer/PTPRF_chr1_43530882_+.pickle,153.23193,1.2664582,3.9903657,PTPRF_chr1_43530882_+,enhancing,PC-3
1192,0.98427266,../results//context_dependence_test_100/enformer/CARD8_chr19_48255946_-.pickle,22.820173,0.38102597,0.35890028,CARD8_chr19_48255946_-,enhancing,PC-3
1426,0.95055294,../results//context_dependence_test_100/enformer/ANGPTL4_chr19_8364154_+.pickle,24.798506,0.80380404,1.2262142,ANGPTL4_chr19_8364154_+,enhancing,PC-3
90,0.97276616,../results//context_dependence_test_100/enformer/FXYD6_chr11_117876658_-.pickle,15.381643,0.43332595,0.41890168,FXYD6_chr11_117876658_-,enhancing,PC-3
9255,0.9561047,../results//context_dependence_test_100/enformer/GADD45GIP1_chr19_12957223_-.pickle,223.65582,6.6206403,9.817451,GADD45GIP1_chr19_12957223_-,enhancing,PC-3
775,0.96705174,../results//context_dependence_test_100/enformer/RNFT2_chr12_116738290_+.pickle,19.850792,0.287005,0.65404856,RNFT2_chr12_116738290_+,enhancing,PC-3
6885,0.9582621,../results//context_dependence_test_100/enformer/UCHL1_chr4_41256927_+.pickle,106.47296,3.114702,4.4439645,UCHL1_chr4_41256927_+,enhancing,PC-3
7971,0.995612,../results//context_dependence_test_100/enformer/ABCC3_chr17_50634880_+.pickle,140.67593,0.9770043,0.6172806,ABCC3_chr17_50634880_+,enhancing,PC-3
1440,0.95637566,../results//context_dependence_test_100/enformer/AK5_chr1_77282018_+.pickle,24.90964,1.2780203,1.0866657,AK5_chr1_77282018_+,enhancing,PC-3
73,0.96201897,../results//context_dependence_test_100/enformer/ADRA1B_chr5_159916481_+.pickle,15.234665,0.41335657,0.5786283,ADRA1B_chr5_159916481_+,enhancing,PC-3
1613,0.99552494,../results//context_dependence_test_100/enformer/SLC16A4_chr1_110391026_-.pickle,26.323938,0.09485287,0.11780241,SLC16A4_chr1_110391026_-,enhancing,PC-3
5380,0.99873227,../results//context_dependence_test_100/enformer/ADIRF_chr10_86968481_+.pickle,72.95062,0.08518315,0.09248223,ADIRF_chr10_86968481_+,enhancing,PC-3
