,Chromosome,Start,gene_name,gene_id,Strand,PC-3
53071,chrX,54044473,PHF8,ENSG00000172943.21,-,17.921875
22343,chr8,97869063,MATN2,ENSG00000132561.14,+,17.9375
9763,chr3,122325247,CSTA,ENSG00000121552.4,+,17.9375
17180,chr6,43182184,CUL9,ENSG00000112659.14,+,17.9375
45552,chr19,23914875,ZNF726,ENSG00000213967.12,+,17.953125
2638,chr1,227563555,ZNF678,ENSG00000181450.18,+,17.953125
24606,chr9,137605685,ARRDC1,ENSG00000197070.14,+,17.96875
27368,chr10,103855576,SH3PXD2A,ENSG00000107957.17,-,17.96875
46087,chr19,44141553,ZNF234,ENSG00000263002.8,+,17.96875
48435,chr19,58150789,ZNF329,ENSG00000181894.15,-,17.96875
25154,chr9,101487117,PGAP4,ENSG00000165152.9,-,17.96875
14294,chr5,50666978,PARP8,ENSG00000151883.19,+,17.984375
39536,chr16,82035252,HSD17B2,ENSG00000086696.11,+,17.984375
39301,chr16,67199130,ELMO3,ENSG00000102890.16,+,18.0
50271,chr21,41508092,TMPRSS2,ENSG00000184012.14,-,18.0
26270,chr10,93993930,PLCE1,ENSG00000138193.17,+,18.0
46101,chr19,44212574,ZNF227,ENSG00000131115.16,+,18.0
33231,chr12,54188994,SMUG1,ENSG00000123415.16,-,18.0
51445,chr22,50530012,TYMP,ENSG00000025708.14,-,18.015625
36362,chr14,73760303,MIDEAS,ENSG00000156030.14,-,18.015625
63,chr1,3454664,ARHGEF16,ENSG00000130762.15,+,18.03125
18074,chr6,28399734,ZSCAN12,ENSG00000158691.15,-,18.03125
37026,chr15,57376504,CGNL1,ENSG00000128849.11,+,18.03125
30768,chr11,106077347,KBTBD3,ENSG00000182359.15,-,18.03125
4209,chr1,151372700,SELENBP1,ENSG00000143416.21,-,18.046875
46084,chr19,44113398,ZNF225,ENSG00000256294.8,+,18.046875
30774,chr11,107565735,ALKBH8,ENSG00000137760.15,-,18.046875
15091,chr5,149730309,PPARGC1B,ENSG00000155846.17,+,18.0625
6826,chr2,231395709,B3GNT7,ENSG00000156966.7,+,18.078125
52971,chrX,48919024,PIM2,ENSG00000102096.10,-,18.078125
13015,chr4,183505057,ING2,ENSG00000168556.7,+,18.078125
40256,chr16,54286787,IRX3,ENSG00000177508.12,-,18.078125
23731,chr9,19409008,ACER2,ENSG00000177076.6,+,18.078125
11060,chr3,64445407,PRICKLE2,ENSG00000163637.13,-,18.078125
24120,chr9,106863165,ZNF462,ENSG00000148143.13,+,18.078125
43265,chr17,47841173,SCRN2,ENSG00000141295.14,-,18.078125
44998,chr19,5681060,HSD11B1L,ENSG00000167733.14,+,18.078125
48393,chr19,57477551,ZNF772,ENSG00000197128.13,-,18.09375
51291,chr22,38700667,JOSD1,ENSG00000100221.11,-,18.09375
28089,chr11,45805148,SLC35C1,ENSG00000181830.9,+,18.09375
34473,chr13,30307551,KATNAL1,ENSG00000102781.14,-,18.09375
34602,chr13,46387252,RUBCNL,ENSG00000102445.20,-,18.09375
53253,chrX,80809877,BRWD3,ENSG00000165288.11,-,18.109375
39378,chr16,68539315,ZFP90,ENSG00000184939.16,+,18.125
47563,chr19,36054285,THAP8,ENSG00000161277.11,-,18.125
30943,chr11,119317130,MCAM,ENSG00000076706.17,-,18.125
26698,chr10,5977611,IL15RA,ENSG00000134470.21,-,18.125
51534,chrX,9786428,SHROOM2,ENSG00000146950.13,+,18.125
28097,chr11,45922655,LARGE2,ENSG00000165905.18,+,18.125
6003,chr2,113627243,RABL2A,ENSG00000144134.19,+,18.125
28282,chr11,59172131,DTX4,ENSG00000110042.8,+,18.140625
23892,chr9,70043847,MAMDC2,ENSG00000165072.10,+,18.140625
45346,chr19,16496393,C19orf44,ENSG00000105072.9,+,18.140625
29747,chr11,14892231,CYP2R1,ENSG00000186104.11,-,18.15625
7449,chr2,61017193,PUS10,ENSG00000162927.14,-,18.15625
2995,chr1,9129102,GPR157,ENSG00000180758.12,-,18.15625
37480,chr15,99105079,SYNM,ENSG00000182253.15,+,18.171875
24269,chr9,126914773,RALGPS1,ENSG00000136828.19,+,18.171875
46933,chr19,5340812,PTPRS,ENSG00000105426.19,-,18.171875
24722,chr9,21031640,HACD4,ENSG00000188921.14,-,18.171875
50357,chr22,17369459,CECR2,ENSG00000099954.19,+,18.171875
33981,chr13,23579379,TNFRSF19,ENSG00000127863.16,+,18.1875
18813,chr6,116254075,TSPYL4,ENSG00000187189.11,-,18.1875
52129,chrX,85244083,ZNF711,ENSG00000147180.17,+,18.1875
8902,chr3,13549124,FBLN2,ENSG00000163520.14,+,18.1875
44288,chr18,62523024,ZCCHC2,ENSG00000141664.10,+,18.203125
4091,chr1,145927476,RBM8A,ENSG00000265241.8,-,18.203125
16102,chr5,137499326,SPOCK1,ENSG00000152377.15,-,18.203125
34246,chr13,77697686,SLAIN1,ENSG00000139737.23,+,18.21875
52417,chrX,134990990,SMIM10,ENSG00000184785.6,+,18.21875
11224,chr3,113696642,USF3,ENSG00000176542.10,-,18.21875
42590,chr17,11997475,ZNF18,ENSG00000154957.14,-,18.234375
16906,chr6,31403594,MICA,ENSG00000204520.14,+,18.234375
4095,chr1,145964575,ANKRD34A,ENSG00000272031.3,-,18.234375
18745,chr6,106974732,CD24,ENSG00000272398.6,-,18.234375
30625,chr11,85811129,SYTL2,ENSG00000137501.18,-,18.234375
20182,chr7,129434445,STRIP2,ENSG00000128578.10,+,18.234375
20253,chr7,139133782,TTC26,ENSG00000105948.13,+,18.234375
34214,chr13,60397219,TDRD3,ENSG00000083544.16,+,18.25
6122,chr2,138501769,SPOPL,ENSG00000144228.9,+,18.25
11075,chr3,69013684,EOGT,ENSG00000163378.14,-,18.25
22321,chr8,94719899,DPY19L4,ENSG00000156162.16,+,18.265625
16553,chr6,1609914,FOXC1,ENSG00000054598.9,+,18.265625
18222,chr6,33298942,RGL2,ENSG00000237441.10,-,18.265625
14168,chr5,15500179,FBXL7,ENSG00000183580.10,+,18.265625
17924,chr6,6006925,NRN1,ENSG00000124785.9,-,18.28125
25122,chr9,97039139,CTSV,ENSG00000136943.12,-,18.28125
12526,chr4,85475149,ARHGAP24,ENSG00000138639.18,+,18.28125
29841,chr11,30586281,MPPED2,ENSG00000066382.17,-,18.296875
31980,chr12,66302492,HELB,ENSG00000127311.10,+,18.296875
40099,chr16,28925214,RABEP2,ENSG00000177548.13,-,18.296875
47946,chr19,47113776,ZC3H4,ENSG00000130749.10,-,18.296875
45018,chr19,6464282,CRB3,ENSG00000130545.16,+,18.296875
53214,chrX,72714306,PHKA1,ENSG00000067177.15,-,18.3125
10717,chr3,46693679,ALS2CL,ENSG00000178038.17,-,18.3125
18899,chr6,132401475,MOXD1,ENSG00000079931.15,-,18.3125
48353,chr19,55599517,FIZ1,ENSG00000179943.8,-,18.328125
28623,chr11,66466904,PELI3,ENSG00000174516.15,+,18.328125
14561,chr5,80488099,FAM151B,ENSG00000152380.10,+,18.34375
21246,chr7,103074796,FBXL13,ENSG00000161040.19,-,18.34375
35976,chr14,23352887,SLC22A17,ENSG00000092096.19,-,18.34375
51381,chr22,43089391,TTLL1,ENSG00000100271.17,-,18.34375
34054,chr13,31846712,FRY,ENSG00000073910.23,+,18.34375
52808,chrX,18984114,PHKA2,ENSG00000044446.12,-,18.359375
15287,chr5,172641265,NEURL1B,ENSG00000214357.9,+,18.359375
8615,chr2,236507476,IQCA1,ENSG00000132321.17,-,18.359375
11106,chr3,71725402,EIF4E3,ENSG00000163412.13,-,18.375
6777,chr2,227813841,CCL20,ENSG00000115009.13,+,18.375
18620,chr6,84227596,CEP162,ENSG00000135315.12,-,18.390625
43549,chr17,66192076,CEP112,ENSG00000154240.18,-,18.390625
45747,chr19,35775563,ARHGAP33,ENSG00000004777.19,+,18.390625
3963,chr1,111204409,DENND2D,ENSG00000162777.17,-,18.390625
36116,chr14,39432433,FBXO33,ENSG00000165355.8,-,18.390625
47479,chr19,23758891,ZNF681,ENSG00000196172.9,-,18.390625
52,chr1,2556370,TNFRSF14,ENSG00000157873.18,+,18.390625
53116,chrX,63755113,ARHGEF9,ENSG00000131089.17,-,18.40625
18310,chr6,37257653,TMEM217,ENSG00000172738.13,-,18.40625
41497,chr17,45221808,FMNL1,ENSG00000184922.15,+,18.40625
38288,chr15,100341975,ADAMTS17,ENSG00000140470.15,-,18.421875
625,chr1,32200647,CCDC28B,ENSG00000160050.16,+,18.421875
52711,chrX,3713649,PRKX,ENSG00000183943.6,-,18.421875
47469,chr19,23274221,ENSG00000283201,ENSG00000283201.1,-,18.421875
6124,chr2,142877663,KYNU,ENSG00000115919.15,+,18.4375
3,chr1,960583,KLHL17,ENSG00000187961.15,+,18.4375
48982,chr20,45469752,WFDC2,ENSG00000101443.18,+,18.453125
51753,chrX,43654906,MAOA,ENSG00000189221.11,+,18.453125
3420,chr1,37859592,MTF1,ENSG00000188786.10,-,18.453125
52578,chrX,152898066,ZNF185,ENSG00000147394.20,+,18.453125
46073,chr19,44002977,ZNF230,ENSG00000159882.13,+,18.484375
7014,chr2,46505,FAM110C,ENSG00000184731.6,-,18.484375
21737,chr8,11284815,MTMR9,ENSG00000104643.10,+,18.5
50816,chr22,41381941,TEF,ENSG00000167074.15,+,18.515625
32392,chr12,119178930,HSPB8,ENSG00000152137.8,+,18.515625
47861,chr19,45076478,ZNF296,ENSG00000170684.10,-,18.515625
43972,chr18,10454634,APCDD1,ENSG00000154856.13,+,18.515625
7159,chr2,25341925,DNMT3A,ENSG00000119772.19,-,18.53125
46068,chr19,43984169,ZNF155,ENSG00000204920.11,+,18.53125
30262,chr11,64844653,CDC42BPG,ENSG00000171219.9,-,18.53125
39729,chr16,1414691,UNKL,ENSG00000059145.19,-,18.546875
28103,chr11,46347462,DGKZ,ENSG00000149091.15,+,18.546875
22247,chr8,76681246,ZFHX4,ENSG00000091656.19,+,18.546875
